# 
# Header Description:
# 
# Version: v3.0.6.4 Platform: 13 Manufacturer: OPPO Model: CPH2371
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Status,,32,0,1,26,1575420030,0.00,112.0,60.0,0,0,0,0.0
Status,,32,1,1,31,1575420030,0.00,356.0,58.0,0,0,0,0.0
Status,,32,2,1,16,1575420030,0.00,166.0,40.0,0,0,0,0.0
Status,,32,3,1,21,1575420030,0.00,250.0,37.0,0,0,0,0.0
Status,,32,4,1,2,1575420030,0.00,270.0,32.0,0,0,0,0.0
Status,,32,5,1,10,1575420030,0.00,130.0,29.0,0,0,0,0.0
Status,,32,6,1,28,1575420030,0.00,26.0,28.0,0,0,0,0.0
Status,,32,7,1,3,1575420030,0.00,329.0,20.0,0,0,0,0.0
Status,,32,8,1,32,1575420030,0.00,63.0,19.0,0,0,0,0.0
Status,,32,9,3,14,1602000000,0.00,190.0,56.0,0,0,0,0.0
Status,,32,10,3,2,1602000000,0.00,61.0,30.0,0,0,0,0.0
Status,,32,11,3,3,1602000000,0.00,0.0,28.0,0,0,0,0.0
Status,,32,12,3,18,1602000000,0.00,260.0,20.0,0,0,0,0.0
Status,,32,13,3,17,1602000000,0.00,212.0,15.0,0,0,0,0.0
Status,,32,14,5,2,1561097980,0.00,149.0,75.0,0,0,0,0.0
Status,,32,15,5,13,1561097980,0.00,136.0,66.0,0,0,0,0.0
Status,,32,16,5,5,1561097980,0.00,240.0,65.0,0,0,0,0.0
Status,,32,17,5,9,1561097980,0.00,2.0,55.0,0,0,0,0.0
Status,,32,18,5,36,1561097980,0.00,214.0,50.0,0,0,0,0.0
Status,,32,19,5,8,1561097980,0.00,139.0,50.0,0,0,0,0.0
Status,,32,20,5,20,1561097980,24.50,52.0,49.0,0,0,0,24.5
Status,,32,21,5,3,1561097980,0.00,109.0,49.0,0,0,0,0.0
Status,,32,22,5,6,1561097980,0.00,17.0,44.0,0,0,0,0.0
Status,,32,23,5,16,1561097980,0.00,22.0,38.0,0,0,0,0.0
Status,,32,24,5,38,1561097980,26.90,142.0,36.0,0,0,0,26.9
Status,,32,25,5,19,1561097980,31.20,344.0,35.0,0,0,0,31.2
Status,,32,26,5,39,1561097980,0.00,27.0,30.0,0,0,0,0.0
Status,,32,27,5,10,1561097980,0.00,148.0,26.0,0,0,0,0.0
Status,,32,28,5,7,1561097980,0.00,135.0,25.0,0,0,0,0.0
Status,,32,29,5,37,1561097980,0.00,37.0,18.0,0,0,0,0.0
Status,,32,30,5,29,1561097980,0.00,220.0,16.0,0,0,0,0.0
Status,,32,31,5,32,1561097980,0.00,107.0,16.0,0,0,0,0.0
Status,,32,0,1,26,1575420030,0.00,112.0,60.0,0,0,0,0.0
Status,,32,1,1,31,1575420030,0.00,356.0,58.0,0,0,0,0.0
Status,,32,2,1,16,1575420030,0.00,166.0,40.0,0,0,0,0.0
Status,,32,3,1,21,1575420030,0.00,250.0,37.0,0,0,0,0.0
Status,,32,4,1,2,1575420030,0.00,270.0,32.0,0,0,0,0.0
Status,,32,5,1,10,1575420030,0.00,130.0,29.0,0,0,0,0.0
Status,,32,6,1,28,1575420030,0.00,26.0,28.0,0,0,0,0.0
Status,,32,7,1,3,1575420030,0.00,329.0,20.0,0,0,0,0.0
Status,,32,8,1,32,1575420030,0.00,63.0,19.0,0,0,0,0.0
Status,,32,9,3,14,1602000000,18.70,190.0,56.0,0,0,0,18.7
Status,,32,10,3,2,1602000000,0.00,61.0,30.0,0,0,0,0.0
Status,,32,11,3,3,1602000000,0.00,0.0,28.0,0,0,0,0.0
Status,,32,12,3,18,1602000000,0.00,260.0,20.0,0,0,0,0.0
Status,,32,13,3,17,1602000000,0.00,212.0,15.0,0,0,0,0.0
Status,,32,14,5,2,1561097980,0.00,149.0,75.0,0,0,0,0.0
Status,,32,15,5,13,1561097980,0.00,136.0,66.0,0,0,0,0.0
Status,,32,16,5,5,1561097980,0.00,240.0,65.0,0,0,0,0.0
Status,,32,17,5,9,1561097980,0.00,2.0,55.0,0,0,0,0.0
Status,,32,18,5,36,1561097980,0.00,214.0,50.0,0,0,0,0.0
Status,,32,19,5,8,1561097980,0.00,139.0,50.0,0,0,0,0.0
