Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9400857,77.5417277,799.3999633789062,0.31003475,14.402,241.48157,1730958604977,1.5,45.0,756647478000000,1.2204722,0,,,
FLP,12.9400988,77.5417415,799.3999633789062,0.34008783,14.047,44.931286,1730958610594,1.5,45.0,756653096000000,1.117385,0,,,
FLP,12.940129,77.5417718,799.3999633789062,0.90977806,18.708,44.428043,1730958615596,1.5,45.0,756658098000000,1.0492165,0,,,
FLP,12.940132,77.5418509,799.5,1.6351786,25.36,86.31064,1730958620635,1.5,45.0,756663136000000,1.1865891,0,,,
FLP,12.9400822,77.5421182,801.5,5.5191274,19.801,100.45236,1730958625628,1.5,45.0,756668130000000,1.2054778,0,,,
FLP,12.9400531,77.5423903,799.3999633789062,5.9070587,20.783,96.4458,1730958630628,1.5,45.0,756673130000000,1.1029981,0,,,
FLP,12.9400383,77.5425434,799.3999633789062,3.57426,22.644,95.80013,1730958635643,1.5,45.0,756678145000000,1.0514454,0,,,
GPS,12.9401143,77.5426834,101.37412282396296,5.5555553,6.9383907,276.311,1730958638565,,,756681067205355,,1,,,
FLP,12.9401143,77.5426834,101.37412282396296,5.5555553,6.9383907,276.311,1730958638565,,,756681067205355,,1,,,
FLP,12.9401143,77.5426834,100.15295923932167,5.5555553,5.593193,276.3699,1730958638827,,,756681328920459,,1,,,
FLP,12.9401143,77.5426834,101.46013883588108,5.5555553,6.2946844,275.8189,1730958639088,,,756681590133896,,1,,,
FLP,12.9401143,77.5426834,100.9837666829229,5.5555553,5.572854,276.62274,1730958639350,,,756681851822646,,1,,,
GPS,12.940114,77.5427183,100.14049730274444,5.5555553,6.5994225,93.48913,1730958639480,,,756681982142855,,1,,,
FLP,12.940114,77.5427183,100.63662885370648,5.5555553,5.7892466,92.63303,1730958639612,,,756682114098063,,1,,,
FLP,12.940114,77.5427183,101.66152001891491,5.5555553,5.1617208,90.73161,1730958639874,,,756682375695771,,1,,,
