Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9402992,77.5450508,812.5,0.19266102,11.54,309.30017,1730960143768,1.5,45.0,2273694910000000,1.0842034,0,,,
FLP,12.9403071,77.5450459,812.5,0.11841647,11.722,328.43768,1730960152473,1.5,45.0,2273703614000000,1.0,0,,,
FLP,12.9403195,77.5450428,812.5,0.27158874,11.662,346.11978,1730960157599,1.5,45.0,2273708741000000,1.079722,0,,,
FLP,12.9403025,77.5449144,813.5999755859375,2.5569706,24.127,262.51715,1730960162854,1.5,45.0,2273713995000000,1.6709881,0,,,
FLP,12.9403025,77.5447131,814.2999877929688,3.9178524,12.911,269.64587,1730960168266,1.5,45.0,2273719407000000,5.0746202,0,,,
FLP,12.9402967,77.5444196,807.7999877929688,7.2440777,12.968,268.85666,1730960172543,1.5,45.0,2273723685000000,1.025708,0,,,
FLP,12.9403477,77.5442024,807.0,4.416578,13.07,282.35794,1730960178200,1.5,45.0,2273729341000000,1.0,0,,,
FLP,12.9402919,77.544097,806.7999877929688,2.4308968,17.627,244.19057,1730960183636,1.5,45.0,2273734777000000,3.3806443,0,,,
FLP,12.9403887,77.5438391,805.8999633789062,5.641147,12.773,290.06213,1730960188728,1.5,45.0,2273739869000000,7.059895,0,,,
FLP,12.9403909,77.543559,804.2000122070312,6.498294,12.18,271.31653,1730960193352,1.5,45.0,2273744493000000,2.4050498,0,,,
GPS,12.9404,77.543513,100.95515855050924,16.0,5.280692,94.23405,1730960197416,,,2273748558040389,,1,,,
FLP,12.9404,77.543513,100.95515855050924,16.0,5.280692,94.23405,1730960197416,,,2273748558040389,,1,,,
FLP,12.9404,77.543513,101.66516509435532,16.0,6.8714466,94.6359,1730960197681,,,2273748822923774,,1,,,
FLP,12.9404,77.543513,100.55396356617412,16.0,5.964113,95.53217,1730960197942,,,2273749084016466,,1,,,
FLP,12.9404,77.543513,101.36695468381843,16.0,5.9562883,94.717514,1730960198206,,,2273749347588774,,1,,,
GPS,12.9403994,77.543524,100.45724647985668,1.1881765,6.0297303,93.8713,1730960198338,,,2273749479602235,,1,,,
FLP,12.9403994,77.543524,101.68463891453176,1.1881765,6.7370157,95.31826,1730960198478,,,2273749619594312,,1,,,
FLP,12.9403994,77.543524,100.5788680624509,1.1881765,5.156814,95.07436,1730960198742,,,2273749883581081,,1,,,
FLP,12.9403994,77.543524,101.4202951143779,1.1881765,6.7162642,94.36995,1730960199005,,,2273750146481620,,1,,,
GPS,12.9403994,77.543524,100.9418126834548,1.1881765,5.357249,93.80791,1730960199269,,,2273750410856389,,1,,,
FLP,12.9403994,77.543524,100.9418126834548,1.1881765,5.357249,93.80791,1730960199269,,,2273750410856389,,1,,,
FLP,12.9403988,77.543535,101.86267017960918,1.1881765,6.0503917,94.903015,1730960199539,,,2273750681153928,,1,,,
FLP,12.9403988,77.543535,100.3291978677434,1.1881765,5.4418316,95.53948,1730960199804,,,2273750945372158,,1,,,
FLP,12.9403988,77.543535,100.69510466586968,1.1881765,5.1385193,93.15441,1730960200068,,,2273751209828082,,1,,,
GPS,12.9403988,77.543535,100.57884810426602,1.1881765,6.655118,94.14523,1730960200200,,,2273751341642005,,1,,,
FLP,12.9403982,77.5435461,101.405350677185,1.1881765,5.603794,95.74273,1730960200341,,,2273751482493928,,1,,,
FLP,12.9403982,77.5435461,101.21458333013187,1.1881765,5.2779775,95.062004,1730960200607,,,2273751748262851,,1,,,
FLP,12.9403982,77.5435461,101.00976938305682,1.1881765,6.9495854,95.89051,1730960200871,,,2273752012737082,,1,,,
