Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9372963,77.5417792,101.60988461744633,3.0555556,6.3017,41.541145,1730962778563,,,1726635825635317,,1,,,
GPS,12.9372963,77.5417792,100.15657702341284,3.0555556,6.4396048,41.13691,1730962778698,,,1726635960439933,,1,,,
FLP,12.9372963,77.5417792,100.60209521072176,3.0555556,5.578506,41.0149,1730962778834,,,1726636096443856,,1,,,
FLP,12.9372963,77.5417792,100.7172382182366,3.0555556,6.737521,41.59046,1730962779106,,,1726636369055355,,1,,,
FLP,12.9372963,77.5417792,100.18776908539242,3.0555556,6.7248926,40.30596,1730962779383,,,1726636645836394,,1,,,
GPS,12.9372963,77.5417792,100.58505620467255,3.0555556,6.5797153,39.88871,1730962779659,,,1726636921354393,,1,,,
FLP,12.9372963,77.5417792,100.58505620467255,3.0555556,6.5797153,39.88871,1730962779659,,,1726636921354393,,1,,,
FLP,12.9372963,77.5417792,101.26793135044367,3.0555556,6.133163,40.78649,1730962779941,,,1726637203811047,,1,,,
FLP,12.9372963,77.5417792,101.0618761178326,3.0555556,6.6799583,42.322613,1730962780217,,,1726637479997278,,1,,,
FLP,12.9372963,77.5417792,101.06859737237866,3.0555556,6.6424127,40.737743,1730962780497,,,1726637759777393,,1,,,
GPS,12.9372963,77.5417792,101.35122948529808,3.0555556,5.5574327,40.079597,1730962780637,,,1726637899686931,,1,,,
FLP,12.9372963,77.5417792,101.99662797350538,3.0555556,5.411421,40.685818,1730962780778,,,1726638040654200,,1,,,
FLP,12.9372963,77.5417792,100.98809916317116,3.0555556,5.873967,40.83318,1730962781064,,,1726638326811316,,1,,,
FLP,12.9372963,77.5417792,100.58911108552152,3.0555556,5.8514056,42.146957,1730962781340,,,1726638602731508,,1,,,
GPS,12.9372963,77.5417792,101.98406580276698,3.0555556,6.974258,42.53042,1730962781618,,,1726638880684046,,1,,,
FLP,12.9372963,77.5417792,101.98406580276698,3.0555556,6.974258,42.53042,1730962781618,,,1726638880684046,,1,,,
FLP,12.9372963,77.5417792,101.81956634634936,3.0555556,6.073581,41.403282,1730962781919,,,1726639182220700,,1,,,
FLP,12.9372963,77.5417792,101.0724593777778,3.0555556,6.09902,41.632484,1730962782075,,,1726639337629315,,1,,,
FLP,12.9372963,77.5417792,101.72391006286048,3.0555556,5.2917686,41.27586,1730962782352,,,1726639614893392,,1,,,
GPS,12.9372963,77.5417792,100.4895928430025,3.0555556,6.725325,41.972248,1730962782634,,,1726639896327237,,1,,,
FLP,12.9372963,77.5417792,100.4895928430025,3.0555556,6.725325,41.972248,1730962782634,,,1726639896327237,,1,,,
FLP,12.9372963,77.5417792,101.67105101288692,3.0555556,5.7819695,40.62264,1730962782905,,,1726640167456199,,1,,,
FLP,12.9372963,77.5417792,101.87595460108864,3.0555556,6.094633,41.343185,1730962783181,,,1726640444130429,,1,,,
FLP,12.9372963,77.5417792,101.7745309045304,3.0555556,6.317402,42.012615,1730962783457,,,1726640720019814,,1,,,
GPS,12.9372963,77.5417792,101.83326291717204,3.0555556,6.7056255,41.41865,1730962783597,,,1726640859807429,,1,,,
FLP,12.9372963,77.5417792,100.60443671375162,3.0555556,5.920154,41.12222,1730962783738,,,1726641000625698,,1,,,
FLP,12.9372963,77.5417792,101.92752800153438,3.0555556,5.801511,41.99226,1730962784008,,,1726641270377429,,1,,,
FLP,12.9372963,77.5417792,101.56371308910803,3.0555556,6.6566634,40.28456,1730962784272,,,1726641535053852,,1,,,
GPS,12.9372963,77.5417792,101.57309615907047,3.0555556,5.0441165,42.46419,1730962784547,,,1726641810017621,,1,,,
FLP,12.9372963,77.5417792,101.57309615907047,3.0555556,5.0441165,42.46419,1730962784547,,,1726641810017621,,1,,,
FLP,12.9372963,77.5417792,100.293949511841,3.0555556,6.993375,41.840736,1730962784852,,,1726642114509390,,1,,,
FLP,12.9372963,77.5417792,100.40545393618528,3.0555556,6.0282364,42.527943,1730962785123,,,1726642385658736,,1,,,
FLP,12.9372963,77.5417792,101.87413998942456,3.0555556,6.610513,41.402435,1730962785402,,,1726642664699620,,1,,,
GPS,12.9372963,77.5417792,100.14928260191972,3.0555556,5.690613,41.434486,1730962785541,,,1726642803545735,,1,,,
FLP,12.9372963,77.5417792,100.53380761308571,3.0555556,5.4183517,41.800144,1730962785681,,,1726642944292235,,1,,,
FLP,12.9372963,77.5417792,101.48141966015577,3.0555556,6.462215,42.47278,1730962785959,,,1726643222189543,,1,,,
FLP,12.9372963,77.5417792,100.9558152553385,3.0555556,5.9292107,42.524204,1730962786237,,,1726643500251350,,1,,,
GPS,12.9372963,77.5417792,100.88059355168804,3.0555556,6.670663,41.77437,1730962786517,,,1726643779792119,,1,,,
FLP,12.9372963,77.5417792,100.88059355168804,3.0555556,6.670663,41.77437,1730962786517,,,1726643779792119,,1,,,
FLP,12.9372963,77.5417792,101.7444389613476,3.0555556,6.465247,39.950245,1730962786795,,,1726644057340042,,1,,,
FLP,12.9372963,77.5417792,100.37751101461392,3.0555556,5.3761144,40.302578,1730962787069,,,1726644331363504,,1,,,
FLP,12.9372963,77.5417792,101.84607408059028,3.0555556,5.6692405,39.793358,1730962787345,,,1726644607857696,,1,,,
GPS,12.9372963,77.5417792,101.77689666091692,3.0555556,5.3692436,42.097095,1730962787485,,,1726644747545157,,1,,,
FLP,12.9372963,77.5417792,101.98280804203849,3.0555556,6.5847597,41.821716,1730962787627,,,1726644890197503,,1,,,
FLP,12.9372963,77.5417792,100.81948350451512,3.0555556,5.6848345,40.061626,1730962787899,,,1726645162240349,,1,,,
FLP,12.9377309,77.5403053,101.19978801590352,3.0555556,5.839615,40.60142,1730962788178,,,1726645440550926,,1,,,
GPS,12.9377309,77.5403053,100.39970704228584,3.0555556,5.7021956,40.302055,1730962788450,,,1726645713113887,,1,,,
FLP,12.9377309,77.5403053,100.39970704228584,3.0555556,5.7021956,40.302055,1730962788450,,,1726645713113887,,1,,,
FLP,12.9377309,77.5403053,101.21420693772085,3.0555556,5.541061,40.184887,1730962788605,,,1726645867597502,,1,,,
FLP,12.9377309,77.5403053,100.80322335618467,3.0555556,6.9238234,40.38834,1730962788873,,,1726646136160425,,1,,,
FLP,12.9377406,77.5402789,100.593755479732,3.0555556,6.608022,291.1024,1730962789137,,,1726646399665387,,1,,,
GPS,12.9377406,77.5402789,101.47333196412016,3.0555556,5.973874,293.54602,1730962789399,,,1726646661615348,,1,,,
FLP,12.9377406,77.5402789,101.47333196412016,3.0555556,5.973874,293.54602,1730962789399,,,1726646661615348,,1,,,
FLP,12.9377406,77.5402789,100.45304106618896,3.0555556,6.051411,292.40164,1730962789666,,,1726646928896540,,1,,,
FLP,12.9377406,77.5402789,101.16790988294544,3.0555556,5.5107555,293.41782,1730962789937,,,1726647199535040,,1,,,
FLP,12.9377504,77.5402524,101.461133547973,3.0555556,6.1295533,291.26297,1730962790214,,,1726647476373578,,1,,,
GPS,12.9377504,77.5402524,101.2793518278212,3.0555556,5.7571435,293.49237,1730962790348,,,1726647611136232,,1,,,
FLP,12.9377504,77.5402524,100.19619636369688,3.0555556,6.1777844,293.35233,1730962790486,,,1726647748372732,,1,,,
FLP,12.9377504,77.5402524,100.5795762783878,3.0555556,5.5301766,290.63925,1730962790757,,,1726648019644001,,1,,,
FLP,12.9377504,77.5402524,101.85177506155136,3.0555556,6.9793425,292.1933,1730962791035,,,1726648297423078,,1,,,
