Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9369038,77.5430239,796.2000122070312,2.3892667,13.601,109.212746,1730962675248,1.5,45.0,2276226389000000,1.0,0,,,
FLP,12.9368295,77.5431483,795.5999755859375,1.8043404,17.261,121.177895,1730962684054,1.5,45.0,2276235195000000,1.0,0,,,
FLP,12.9368604,77.5432763,796.2000122070312,2.781543,21.644,77.012245,1730962689093,1.5,45.0,2276240234000000,1.0,0,,,
FLP,12.9368295,77.5433256,795.8999633789062,1.3151646,17.997,117.49154,1730962694090,1.5,45.0,2276245231000000,1.0,0,,,
FLP,12.9367856,77.5433237,795.5999755859375,1.101593,17.234,155.1648,1730962697879,1.5,45.0,2276249020000000,1.0,0,,,
FLP,12.936776,77.5433165,795.5,0.5299142,14.009,166.72011,1730962704227,1.5,45.0,2276255368000000,1.0,0,,,
FLP,12.9368036,77.5433146,795.8999633789062,0.06273963,14.877,,1730962709143,1.5,,2276260284000000,1.0,0,,,
FLP,12.9368227,77.5431702,795.8999633789062,1.6567831,13.688,278.78204,1730962712932,1.5,45.0,2276264073000000,1.0,0,,,
FLP,12.9368288,77.5430048,796.2000122070312,2.3214433,17.198,274.1903,1730962719280,1.5,45.0,2276270421000000,1.0,0,,,
FLP,12.9369864,77.542649,795.3999633789062,4.4293804,17.422,287.87286,1730962724444,1.5,45.0,2276275585000000,1.0,0,,,
FLP,12.9370952,77.5423198,795.2999877929688,7.0049343,12.62,288.7175,1730962729722,1.5,45.0,2276280864000000,1.0,0,,,
FLP,12.9372189,77.5420696,795.2999877929688,5.6421638,20.831,296.47186,1730962735163,1.5,45.0,2276286304000000,1.4183346,0,,,
FLP,12.9374046,77.5415863,794.2000122070312,10.3148,19.789,291.69122,1730962740455,1.5,45.0,2276291596000000,1.2527107,0,,,
FLP,12.9373976,77.5413997,792.5999755859375,7.632568,17.014,271.9978,1730962743214,1.5,45.0,2276294355000000,1.0,0,,,
FLP,12.9375471,77.5410627,791.7999877929688,6.03519,18.713,292.75507,1730962749936,1.5,45.0,2276301077000000,1.0,0,,,
FLP,12.9375625,77.5408501,791.2999877929688,3.017513,11.48,274.95047,1730962757730,1.5,45.0,2276308871000000,1.0659856,0,,,
FLP,12.9375644,77.54087,791.2000122070312,1.5373272,12.54,277.4413,1730962759986,1.5,45.0,2276311127000000,1.0,0,,,
FLP,12.9376729,77.5406001,794.5,4.578496,15.33,289.99973,1730962764203,1.5,45.0,2276315344000000,1.1643848,0,,,
FLP,12.9377387,77.5400999,794.5,7.595457,14.617,281.50403,1730962769212,1.5,45.0,2276320353000000,1.0,0,,,
GPS,12.937709,77.540366,100.14482815709732,4.7222223,5.7673573,94.6463,1730962774286,,,2276325427480888,,1,,,
FLP,12.937709,77.540366,100.14482815709732,4.7222223,5.7673573,94.6463,1730962774286,,,2276325427480888,,1,,,
FLP,12.937709,77.540366,100.40283866920232,4.7222223,5.403731,92.57505,1730962774560,,,2276325701332580,,1,,,
FLP,12.937709,77.540366,100.32996028522088,4.7222223,6.68966,94.71211,1730962774821,,,2276325962416888,,1,,,
FLP,12.937709,77.540366,101.08197698398423,4.7222223,5.2748938,92.58805,1730962775083,,,2276326224947888,,1,,,
GPS,12.9376941,77.5403608,100.10682527762528,1.7351707,6.957461,199.05794,1730962775216,,,2276326357790734,,1,,,
FLP,12.9376941,77.5403608,100.48215542493983,1.7351707,5.416003,199.55678,1730962775353,,,2276326495136811,,1,,,
FLP,12.9376941,77.5403608,101.85036108620515,1.7351707,6.865967,200.72926,1730962775618,,,2276326759183580,,1,,,
FLP,12.9376941,77.5403608,100.54930249116272,1.7351707,5.9645066,201.00533,1730962775882,,,2276327023615657,,1,,,
GPS,12.9376941,77.5403608,100.90209439511884,1.7351707,6.9530807,200.63736,1730962776146,,,2276327287756504,,1,,,
FLP,12.9376941,77.5403608,100.90209439511884,1.7351707,6.9530807,200.63736,1730962776146,,,2276327287756504,,1,,,
FLP,12.937679,77.5403556,101.17519582813118,1.7351707,5.776693,200.70868,1730962776418,,,2276327559636888,,1,,,
FLP,12.937679,77.5403556,101.93034293627234,1.7351707,6.717099,201.49156,1730962776683,,,2276327824766734,,1,,,
FLP,12.937679,77.5403556,100.0740690622335,1.7351707,6.1461015,201.19089,1730962776949,,,2276328090299273,,1,,,
GPS,12.937679,77.5403556,100.47917168316526,1.7351707,5.160894,201.75826,1730962777082,,,2276328224155965,,1,,,
FLP,12.9376452,77.5403438,100.81323327598896,3.8888888,6.3547106,201.737,1730962777219,,,2276328361088811,,1,,,
FLP,12.9376452,77.5403438,100.99286883507536,3.8888888,6.00922,199.6858,1730962777484,,,2276328625638427,,1,,,
FLP,12.9376452,77.5403438,100.07557046277174,3.8888888,6.3573527,200.94896,1730962777750,,,2276328891598042,,1,,,
GPS,12.9376452,77.5403438,101.54026022691188,3.8888888,6.249315,199.27383,1730962778013,,,2276329155120811,,1,,,
FLP,12.9376452,77.5403438,101.54026022691188,3.8888888,6.249315,199.27383,1730962778013,,,2276329155120811,,1,,,
FLP,12.9376115,77.5403322,100.54696875120956,3.8888888,5.5860868,199.8983,1730962778287,,,2276329428535658,,1,,,
