Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9283631,77.5201879,751.0999755859375,0.10623313,18.0,2.9717562,1730968852443,0.44,180.0,1732709706855751,3.077543,0,,,
GPS,12.9283329891,77.5202382635,714.0,0.049999997,16.5,0.0,1730968851000,0.41,180.0,1732709922764790,29.0,0,,,
FLP,12.9283538,77.5202033,751.0999755859375,0.06697283,17.25,,1730968852660,0.41,,1732709922764790,3.0797021,0,,,
GPS,12.9283394013,77.5202129502,727.0,0.099999994,14.5,0.0,1730968852000,0.39,180.0,1732710941965404,27.0,0,,,
FLP,12.9283487,77.520207,751.0999755859375,0.09415518,16.333,,1730968853678,0.39,,1732710941965404,3.0898943,0,,,
GPS,12.9283432569,77.5201169774,731.0,0.14,13.5,0.0,1730968853000,0.65,180.0,1732711951545134,22.0,0,,,
FLP,12.928347,77.52017,751.0999755859375,0.12353529,15.625,359.39145,1730968854689,0.65,180.0,1732711951545134,3.0999901,0,,,
GPS,12.9283481603,77.5201432966,737.0,0.07,11.0,0.0,1730968854000,0.55,180.0,1732712948154711,19.0,0,,,
FLP,12.9283481,77.5201566,751.0999755859375,0.08336007,14.7,,1730968855686,0.55,,1732712948154711,3.109956,0,,,
GPS,12.9283489566,77.5201696996,735.0,0.0,10.0,,1730968855000,0.5,,1732713939270287,17.0,0,,,
FLP,12.9283489,77.5201634,751.0999755859375,0.08341086,13.916,,1730968856676,0.5,,1732713939270287,3.1198673,0,,,
GPS,12.9283489566,77.5201696996,735.0,0.0,9.0,,1730968856000,0.27,,1732714951181209,15.0,0,,,
FLP,12.9283493,77.5201669,751.0999755859375,0.082723066,11.6,,1730968857689,0.27,,1732714951181209,3.1299863,0,,,
GPS,12.9283489566,77.5201696996,735.0,0.0,8.0,,1730968857000,0.4,,1732715949783170,13.0,0,,,
FLP,12.9283494,77.5201686,751.0999755859375,0.080425106,10.3,,1730968858687,0.4,,1732715949783170,3.1399724,0,,,
GPS,12.9283489566,77.5201696996,735.0,0.0,7.5,,1730968858000,0.26,,1732716944066323,12.0,0,,,
FLP,12.9283494,77.5201693,751.0999755859375,0.0759457,9.833,,1730968859681,0.26,,1732716944066323,3.1499152,0,,,
GPS,12.9283489566,77.5201696996,735.0,0.0,7.0,,1730968859000,0.27,,1732717950717822,11.0,0,,,
FLP,12.9283494,77.5201696,751.0999755859375,0.06928419,8.3,,1730968860688,0.27,,1732717950717822,3.1599817,0,,,
FLP,12.9283494,77.5201697,751.0999755859375,0.0684629,9.284,,1730968860849,1.5,,1732718112000000,2.1580548,0,,,
GPS,12.9283489566,77.5201696996,735.0,0.0,6.5,,1730968860000,0.26,,1732718951844322,10.0,0,,,
FLP,12.9283493,77.5201697,751.0999755859375,0.06119337,8.701,,1730968861689,0.26,,1732718951844322,2.1664534,0,,,
GPS,12.9283489566,77.5201696996,735.0,0.0,6.0,,1730968861000,0.31,,1732719939104359,9.0,0,,,
FLP,12.9283492,77.5201698,751.0999755859375,0.05314715,8.315,,1730968862677,0.31,,1732719939104359,2.1763258,0,,,
GPS,12.9283489566,77.5201696996,735.0,0.0,6.0,,1730968862000,0.44,,1732720934225705,9.0,0,,,
FLP,12.9283492,77.5201698,751.0999755859375,0.04578545,7.887,,1730968863672,0.44,,1732720934225705,2.1862772,0,,,
GPS,12.9283489566,77.5201696996,735.0,0.0,5.5,,1730968863000,0.75,,1732721930356089,8.0,0,,,
FLP,12.9283492,77.5201698,751.0999755859375,0.03876785,7.529,,1730968864668,0.75,,1732721930356089,2.1962383,0,,,
GPS,12.9283520579,77.5201568753,734.0,0.88,5.5,0.0,1730968864000,0.58,180.0,1732722934809550,8.0,0,,,
FLP,12.9283538,77.5201605,751.0999755859375,0.8210152,7.244,353.85983,1730968865672,0.58,180.0,1732722934809550,2.2062829,0,,,
GPS,12.9283575062,77.5201533549,735.0,0.81,5.5,0.0,1730968865000,0.84,180.0,1732723956159010,8.0,0,,,
FLP,12.9283586,77.5201552,752.8999633789062,0.81625503,6.673,353.26984,1730968866694,0.84,180.0,1732723956159010,2.4833596,0,,,
GPS,12.9283670196,77.5201430451,735.0,1.29,6.0,0.0,1730968866000,0.83,180.0,1732724944243317,8.0,0,,,
FLP,12.928367,77.5201468,752.8999633789062,1.1080003,6.673,352.644,1730968867682,0.83,180.0,1732724944243317,2.4932404,0,,,
GPS,12.9283774551,77.5201382674,736.0,1.63,6.0,302.9,1730968867000,0.75,11.4,1732725946432586,8.0,0,,,
FLP,12.928377,77.5201372,752.8999633789062,1.5154817,6.673,306.74698,1730968868684,0.75,11.4,1732725946432586,2.5032623,0,,,
FLP,12.9283654,77.5201525,752.8999633789062,0.1257226,6.372,28.137856,1730968869135,0.14890972,45.0,1732726397503624,2.5032623,0,,,
GPS,12.9283854598,77.5201159716,736.0,2.4299998,5.5,289.6,1730968868000,0.84,6.8,1732726954791816,8.0,0,,,
FLP,12.9283715,77.5201403,752.8999633789062,0.84363055,6.963,282.2985,1730968869691,0.51671076,45.0,1732726954791816,2.513346,0,,,
GPS,12.9283935064,77.5200889818,736.0,2.46,5.5,280.9,1730968869000,0.8,6.5,1732727941208969,8.0,0,,,
FLP,12.9283817,77.5201112,752.8999633789062,1.9708067,7.514,276.8813,1730968870679,0.50233,45.0,1732727941208969,2.52321,0,,,
FLP,12.9283891,77.52008,752.8999633789062,2.1983676,7.233,276.59894,1730968871659,0.56377727,45.0,1732728922060930,2.52321,0,,,
GPS,12.9284016369,77.5200623274,736.0,2.44,5.5,283.4,1730968870000,0.8,6.2,1732728958375622,8.0,0,,,
FLP,12.9283999,77.520055,752.8999633789062,2.348707,7.858,279.28967,1730968872197,0.5677464,45.0,1732729460442891,2.5333817,0,,,
GPS,12.9284124495,77.5200397801,737.0,3.26,5.5,290.7,1730968871000,0.8,5.1,1732729952319275,8.0,0,,,
FLP,12.928406,77.5200426,752.8999633789062,2.6433923,8.309,281.05328,1730968872690,0.5089445,45.0,1732729952319275,2.5433211,0,,,
FLP,12.9284105,77.5200341,752.8999633789062,2.7813287,8.471,282.62497,1730968872978,0.5667656,45.0,1732730241650775,2.5433211,0,,,
FLP,12.9284164,77.5200195,752.8999633789062,2.890481,8.61,283.91467,1730968873474,0.57550573,45.0,1732730736448890,2.5433211,0,,,
GPS,12.9284235975,77.5200082641,738.0,3.4199998,5.5,291.4,1730968872000,0.8,4.1,1732730941357313,8.0,0,,,
FLP,12.9284217,77.5200114,752.8999633789062,3.028634,8.628,285.10678,1730968873678,0.51677424,45.0,1732730941357313,2.5532117,0,,,
FLP,12.9284265,77.5200023,752.8999633789062,3.0851507,8.9,286.18555,1730968873936,0.48889717,45.0,1732731198957621,2.5532117,0,,,
FLP,12.9284336,77.5199855,752.8999633789062,3.1398163,9.312,287.04794,1730968874454,0.5053641,45.0,1732731716904274,2.5532117,0,,,
GPS,12.9284365475,77.5199709646,737.0,3.1699998,5.0,286.8,1730968873000,0.77,4.0,1732731946423889,8.0,0,,,
FLP,12.9284366,77.5199767,752.8999633789062,3.164026,9.222,286.84036,1730968874684,0.46794137,45.0,1732731946423889,2.5632622,0,,,
FLP,12.9284395,77.5199674,752.8999633789062,3.094044,9.116,286.90573,1730968874973,0.49521142,45.0,1732732235213081,2.5632622,0,,,
FLP,12.9284444,77.519951,752.8999633789062,3.0498757,9.067,286.80475,1730968875515,0.5060917,45.0,1732732777559735,2.5632622,0,,,
FLP,12.9284468,77.5199399,752.8999633789062,2.8873403,8.993,286.54425,1730968875918,0.53430647,45.0,1732733181185388,2.5632622,0,,,
FLP,12.9284497,77.5199259,752.8999633789062,2.805237,8.962,285.20068,1730968876433,0.55752474,45.0,1732733695232619,2.5632622,0,,,
GPS,12.9284551134,77.5199310668,735.0,1.38,5.0,285.0,1730968875000,0.83,8.0,1732733953980657,8.0,0,,,
FLP,12.9284523,77.5199256,752.8999633789062,2.0045424,8.876,285.9111,1730968876691,0.4866136,45.0,1732733953980657,2.5833378,0,,,
FLP,12.9284533,77.5199232,752.8999633789062,1.3427513,8.867,282.65173,1730968877158,0.5864216,45.0,1732734420847849,2.5833378,0,,,
GPS,12.9284579214,77.5199158955,734.0,1.24,5.0,276.1,1730968876000,0.79,9.9,1732734953231887,8.0,0,,,
FLP,12.9284558,77.519916,752.8999633789062,1.2456228,8.779,280.19415,1730968877691,0.47089973,45.0,1732734953231887,2.5933304,0,,,
FLP,12.9284568,77.5199119,752.8999633789062,1.030309,8.703,275.14844,1730968878075,0.40562028,45.0,1732735337629425,2.5933304,0,,,
FLP,12.9284582,77.5199061,752.8999633789062,0.7183077,8.68,258.1511,1730968878918,0.38877982,45.0,1732736180236425,2.5933304,0,,,
FLP,12.9284575,77.5199031,752.8999633789062,0.6725868,8.717,244.05658,1730968879558,0.40419447,45.0,1732736821244770,2.5933304,0,,,
GPS,12.9284484498,77.5199007243,733.0,1.73,5.0,210.4,1730968878000,0.87,10.9,1732736951790578,8.0,0,,,
FLP,12.9284452,77.5198995,752.8999633789062,1.0602382,8.764,207.98688,1730968880356,0.5425077,45.0,1732737618959885,2.6133158,0,,,
GPS,12.9284347454,77.5198952761,733.0,2.09,5.0,196.8,1730968879000,0.8,8.5,1732737945744346,8.0,0,,,
FLP,12.9284392,77.5198966,752.8999633789062,1.5772446,8.762,198.78976,1730968880683,0.45296612,45.0,1732737945744346,2.6232555,0,,,
FLP,12.9284319,77.5198941,752.8999633789062,1.8134898,8.763,195.49715,1730968881057,0.54141366,45.0,1732738320437769,2.6232555,0,,,
FLP,12.9284182,77.5198911,752.8999633789062,1.9633758,8.798,191.89441,1730968881736,0.5409505,45.0,1732738998433884,2.6232555,0,,,
GPS,12.9283942189,77.519876752,732.0,2.81,5.0,189.5,1730968881000,0.6,5.7,1732739952996691,8.0,0,,,
FLP,12.9283953,77.5198784,752.8999633789062,2.8045216,8.424,189.01704,1730968882689,0.6,5.7,1732739952996691,2.643328,0,,,
