Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9247546,77.5201458,762.2000122070312,2.1253839,29.542,342.68164,1730970654955,1.5,45.0,768697456000000,19.703606,0,,,
FLP,12.9246763,77.5200804,762.2000122070312,1.8785098,30.761,224.70145,1730970660008,1.5,45.0,768702509000000,21.957453,0,,,
FLP,12.9245468,77.5201116,763.0999755859375,2.7625062,31.239,170.35616,1730970664982,1.5,45.0,768707483000000,17.411682,0,,,
FLP,12.9246477,77.5201322,763.0999755859375,0.10816917,12.732,330.921,1730970670003,0.13317339,45.0,768712504841604,17.43084,0,,,
FLP,12.9246517,77.5201327,763.0999755859375,0.055971116,12.646,,1730970672259,0.083766036,,768714760876187,17.45384,0,,,
FLP,12.9246842,77.5201375,762.2000122070312,0.07396193,11.926,,1730970673764,0.09763981,,768716265276186,12.758113,0,,,
FLP,12.9246914,77.5201383,759.7999877929688,0.070089884,11.849,,1730970677280,0.10571513,,768719782418436,15.569341,0,,,
FLP,12.9247109,77.5201405,759.7999877929688,0.022112273,10.827,,1730970678090,0.060637183,,768720591370299,15.569341,0,,,
FLP,12.9247137,77.5201411,759.7999877929688,0.06871226,10.732,,1730970678613,0.09950159,,768721114839309,15.560553,0,,,
FLP,12.9247124,77.5201418,759.7999877929688,0.087046444,10.762,,1730970680915,0.10936131,,768723417240558,17.361567,0,,,
FLP,12.9247111,77.5201416,759.7999877929688,0.0679987,10.973,,1730970681772,0.09116256,,768724273163579,17.361567,0,,,
FLP,12.9247087,77.5201393,758.5,0.021225417,11.251,,1730970685044,0.057517927,,768727545674686,15.303897,0,,,
FLP,12.9249639,77.520307,758.5,0.07362029,14.313,,1730970685835,0.10275784,,768728336092588,15.303897,0,,,
FLP,12.9250707,77.5203768,758.5,0.013720102,16.715,,1730970686397,0.0426897,,768728898596650,16.073578,0,,,
FLP,12.9251275,77.5204136,758.5,0.06789795,19.079,,1730970686977,0.093244955,,768729478318212,16.073578,0,,,
FLP,12.9251605,77.520435,758.5,0.06411591,19.511,,1730970687415,0.09093147,,768729916728577,16.083584,0,,,
FLP,12.9251824,77.5204492,758.5,0.1036192,21.288,78.92891,1730970687899,0.12699907,45.0,768730400723941,16.083584,0,,,
FLP,12.925217,77.5204719,758.5,0.07113279,21.427,,1730970691466,0.09680323,,768733968348523,16.678463,0,,,
FLP,12.9252288,77.5204788,758.5,0.11062703,21.571,78.01738,1730970691887,0.13054065,45.0,768734388232846,16.678463,0,,,
FLP,12.9252335,77.5204804,758.0,0.09082944,21.773,,1730970692465,0.10653113,,768734966432186,15.578947,0,,,
FLP,12.9252743,77.5205038,758.0,0.05149077,20.477,,1730970694444,0.10535231,,768736945998418,15.606782,0,,,
FLP,12.9252825,77.5205082,758.0,0.08703171,19.42,,1730970695026,0.1251524,,768737527333678,15.606782,0,,,
FLP,12.9252866,77.5205103,758.0,0.12282434,17.91,26.52526,1730970695729,0.145628,45.0,768738230811907,15.559598,0,,,
FLP,12.9252936,77.5205068,758.0,0.08150172,15.484,,1730970699581,0.107672766,,768742083353572,13.442722,0,,,
FLP,12.9252951,77.5205042,757.5,0.081499994,15.621,,1730970699771,0.107672766,,768742273010832,19.363272,0,,,
FLP,12.9260071,77.5202,757.5,,100.0,,1730970724038,1.5,45.0,768766539000000,24.893969,0,,,
GPS,12.9255344,77.5210836,101.09164585934197,5.0,6.7029,191.79462,1730970730128,,,768772629780696,,1,,,
FLP,12.9255344,77.5210836,101.09164585934197,5.0,6.7029,191.79462,1730970730128,,,768772629780696,,1,,,
FLP,12.9255344,77.5210836,100.69940868965011,5.0,6.3714232,191.98148,1730970730388,,,768772890278300,,1,,,
FLP,12.9255344,77.5210836,101.57508592051882,5.0,5.2318926,191.70241,1730970730649,,,768773150633716,,1,,,
FLP,12.9255344,77.5210836,100.01646010995992,5.0,5.706364,190.16307,1730970730911,,,768773412446320,,1,,,
GPS,12.9255779,77.5210963,101.46476270063856,5.0,6.857393,17.140963,1730970731041,,,768773542412622,,1,,,
FLP,12.9255779,77.5210963,101.4090661772549,5.0,5.9172893,16.852634,1730970731172,,,768773673427049,,1,,,
FLP,12.9255779,77.5210963,101.4378000991203,5.0,6.3142657,16.646736,1730970731432,,,768773933648039,,1,,,
FLP,12.9255779,77.5210963,101.08951762050964,5.0,5.0933294,16.805044,1730970731695,,,768774196437518,,1,,,
GPS,12.9255779,77.5210963,101.4294208314036,5.0,6.2928214,17.336391,1730970731959,,,768774460926216,,1,,,
FLP,12.9255779,77.5210963,101.4294208314036,5.0,6.2928214,17.336391,1730970731959,,,768774460926216,,1,,,
FLP,12.9256216,77.5211091,100.54071417315552,5.0,5.8196435,18.12985,1730970732232,,,768774733494028,,1,,,
FLP,12.9256216,77.5211091,100.10082064687664,5.0,6.6841226,18.854599,1730970732500,,,768775002008195,,1,,,
FLP,12.9256216,77.5211091,100.83033595096664,5.0,6.3246264,17.408941,1730970732763,,,768775264747622,,1,,,
GPS,12.9256216,77.5211091,101.77369404301058,5.0,5.2662435,16.13448,1730970732896,,,768775397516632,,1,,,
FLP,12.9256654,77.5211219,100.5885631115184,5.0,5.3520527,16.357044,1730970733032,,,768775533615486,,1,,,
FLP,12.9256654,77.5211219,100.89137054514872,5.0,6.4506893,18.38603,1730970733296,,,768775797474549,,1,,,
FLP,12.9256654,77.5211219,100.8764537064812,5.0,5.990805,18.037754,1730970733557,,,768776058811788,,1,,,
GPS,12.9256654,77.5211219,101.6148043551925,5.0,6.438488,17.188824,1730970733824,,,768776325415017,,1,,,
FLP,12.9256654,77.5211219,101.6148043551925,5.0,6.438488,17.188824,1730970733824,,,768776325415017,,1,,,
