Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
GPS,12.9285858292,77.5170494523,704.0,0.65,19.5,0.0,1730973101000,0.45,180.0,1736960237332791,35.0,0,,,
FLP,12.9286166,77.5170701,704.0,0.6257621,8.833,352.2759,1730973101040,0.45,180.0,1736960237332791,35.0,0,,,
GPS,12.9286270682,77.5170457643,712.0,0.42,16.5,0.0,1730973102000,0.35,180.0,1736961242477983,29.0,0,,,
FLP,12.9286238,77.5170594,712.0,0.44937027,18.0,352.66562,1730973102045,0.35,180.0,1736961242477983,29.0,0,,,
GPS,12.9286520043,77.5170476083,718.0,1.06,18.5,0.0,1730973103000,1.07,180.0,1736962244626982,27.0,0,,,
FLP,12.9286359,77.5170551,718.0,0.6921478,18.166,355.0013,1730973103047,1.07,180.0,1736962244626982,27.0,0,,,
GPS,12.9286515014,77.5170405675,724.0,1.43,14.5,307.3,1730973104000,0.87,13.4,1736963244568558,22.0,0,,,
FLP,12.9286465,77.5170425,724.0,1.2389891,17.25,311.45416,1730973104047,0.87,13.4,1736963244568558,22.0,0,,,
GPS,12.9286640743,77.5170071237,721.0,1.12,12.5,319.7,1730973105000,0.77,13.7,1736964252843134,20.0,0,,,
FLP,12.9286587,77.5170217,721.0,1.1459491,16.3,317.0583,1730973105055,0.77,13.7,1736964252843134,20.0,0,,,
GPS,12.9286812153,77.5169927906,727.0,1.26,11.0,324.7,1730973106000,0.77,13.4,1736965252635711,18.0,0,,,
FLP,12.9286739,77.5170037,727.0,1.2220854,14.6,322.0538,1730973106054,0.77,13.4,1736965252635711,18.0,0,,,
GPS,12.9286968056,77.5170039386,727.0,1.17,10.0,338.9,1730973107000,0.83,13.3,1736966246848671,17.0,0,,,
FLP,12.92869,77.5170008,727.0,1.1482002,13.3,334.83417,1730973107049,0.83,13.3,1736966246848671,17.0,0,,,
GPS,12.9287059,77.5170113146,729.0,1.09,9.5,347.1,1730973108000,0.75,11.9,1736967238043902,16.0,0,,,
FLP,12.9287028,77.5170043,729.0,1.08866,12.666,345.79797,1730973108041,0.75,11.9,1736967238043902,16.0,0,,,
GPS,12.9287181795,77.5170144159,728.0,1.22,9.0,5.7,1730973109000,0.87,12.8,1736968238495016,15.0,0,,,
FLP,12.9287156,77.5170087,728.0,1.1498122,11.083,3.4349966,1730973109041,0.87,12.8,1736968238495016,15.0,0,,,
GPS,12.9287435347,77.5170286652,726.0,1.36,8.0,26.6,1730973110000,0.96,12.9,1736969243540823,14.0,0,,,
FLP,12.9287363,77.5170208,726.0,1.2823111,10.0,20.973684,1730973110046,0.96,12.9,1736969243540823,14.0,0,,,
GPS,12.9287527548,77.5170531403,729.0,1.66,8.0,50.7,1730973111000,1.05,12.7,1736970233165053,13.0,0,,,
FLP,12.9287501,77.5170413,729.0,1.43105,9.25,39.00206,1730973111036,1.05,12.7,1736970233165053,13.0,0,,,
GPS,12.9287763918,77.5170740113,730.0,1.9699999,8.0,60.3,1730973112000,1.11,12.1,1736971246953014,13.0,0,,,
FLP,12.9287693,77.5170642,730.0,1.6751535,8.5,52.175255,1730973112049,1.11,12.1,1736971246953014,13.0,0,,,
GPS,12.9287886713,77.5170930382,733.0,2.36,8.0,40.8,1730973113000,0.95,8.4,1736972249658706,13.0,0,,,
FLP,12.928785,77.5170861,733.0,2.1079075,8.2,44.10619,1730973113052,0.95,8.4,1736972249658706,13.0,0,,,
GPS,12.9288149485,77.5171030965,734.0,2.49,7.5,27.7,1730973114000,0.93,6.8,1736973249540128,12.0,0,,,
FLP,12.928809,77.5171013,734.0,2.274103,7.9,31.854029,1730973114052,0.93,6.8,1736973249540128,12.0,0,,,
