Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9368397,77.5430465,796.7999877929688,0.73809886,12.524,278.5442,1727326411727,1.5,45.0,657982837000000,1.0644104,,,,
FLP,12.9367358,77.5430252,797.0,1.4850407,13.918,191.8867,1727326419489,1.5,45.0,657990600000000,1.1099745,,,,
FLP,12.9364543,77.5429239,798.7000122070312,4.3390503,11.738,199.27844,1727326427023,1.5,45.0,657998134000000,1.003544,,,,
FLP,12.9362721,77.5428455,801.0,4.292809,28.665,202.6337,1727326432139,1.5,45.0,658003250000000,1.4391313,,,,
FLP,12.9361426,77.542758,801.5999755859375,3.56298,21.191,212.02968,1727326437083,1.5,45.0,658008194000000,1.6071098,,,,
GPS,12.936282,77.542408,101.05753911603482,0.0,6.1072364,0.14607604,1727326443239,,,658014350272912,,1.0,,,
FLP,12.936282,77.542408,101.05753911603482,0.0,6.1072364,0.14607604,1727326443239,,,658014350272912,,1.0,,,
FLP,12.936282,77.542408,100.95489919546708,0.0,6.118004,1.7717178,1727326443510,,,658014621288901,,1.0,,,
FLP,12.936282,77.542408,101.22061435037756,0.0,6.980301,0.6090868,1727326443772,,,658014883215776,,1.0,,,
FLP,12.936282,77.542408,100.87181509767746,0.0,6.415399,0.84476745,1727326444036,,,658015146559578,,1.0,,,
GPS,12.9361429,77.5423666,100.68709074795107,16.0,6.9327683,197.3426,1727326444176,,,658015287273068,,1.0,,,
FLP,12.9361429,77.5423666,100.9643242416285,16.0,5.0363464,197.01537,1727326444309,,,658015419657287,,1.0,,,
FLP,12.9361429,77.5423666,101.03492303051785,16.0,5.5395117,199.08958,1727326444575,,,658015686263849,,1.0,,,
FLP,12.9361429,77.5423666,101.79374883062516,16.0,5.995779,197.40866,1727326444849,,,658015959527026,,1.0,,,
GPS,12.9361429,77.5423666,100.1919177959675,16.0,6.829804,196.69263,1727326445116,,,658016227349109,,1.0,,,
FLP,12.9361429,77.5423666,100.1919177959675,16.0,6.829804,196.69263,1727326445116,,,658016227349109,,1.0,,,
FLP,12.9360034,77.5423251,100.35074226752882,16.0,6.522821,197.31207,1727326445311,,,658016422172442,,1.0,,,
FLP,12.9360034,77.5423251,100.3232980751138,16.0,6.9245505,196.78577,1727326445582,,,658016692974369,,1.0,,,
FLP,12.9360034,77.5423251,100.51011124924892,16.0,5.0338564,198.39949,1727326445851,,,658016961876921,,1.0,,,
GPS,12.9360034,77.5423251,100.02132283218609,16.0,6.8732853,198.41771,1727326446117,,,658017227918067,,1.0,,,
FLP,12.9360034,77.5423251,100.02132283218609,16.0,6.8732853,198.41771,1727326446117,,,658017227918067,,1.0,,,
FLP,12.9358627,77.5422833,100.05101550423592,16.0,5.1042223,198.72166,1727326446389,,,658017500256869,,1.0,,,
FLP,12.9358627,77.5422833,101.22972614083996,16.0,6.6737432,196.84274,1727326446658,,,658017768799838,,1.0,,,
FLP,12.9358627,77.5422833,101.74648185007432,16.0,6.796386,197.69893,1727326446924,,,658018035151452,,1.0,,,
GPS,12.9358627,77.5422833,101.64236975670894,16.0,6.905409,197.88593,1727326447058,,,658018169455306,,1.0,,,
