Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9294366,77.5198374,750.3999633789062,1.5180564,24.772,185.93025,1730973589035,1.5,45.0,771631537000000,1.4632326,0,,,
FLP,12.9294967,77.5198729,750.3999633789062,0.9113996,18.661,32.00758,1730973596428,1.5,45.0,771638929000000,1.4067997,0,,,
FLP,12.9295147,77.5197792,750.0,1.9575365,19.571,282.17395,1730973601446,1.5,45.0,771643947000000,1.8657497,0,,,
FLP,12.9295346,77.5197476,750.0,0.8830956,19.359,299.81268,1730973606467,1.5,45.0,771648968000000,1.7863696,0,,,
FLP,12.9294989,77.5198564,750.3999633789062,2.2651966,23.968,108.39815,1730973611591,1.5,45.0,771654093000000,1.4644885,0,,,
FLP,12.9295016,77.5199319,750.3999633789062,1.8933816,19.392,98.4347,1730973616518,1.5,45.0,771659019000000,1.7183179,0,,,
FLP,12.9294563,77.5200158,750.3999633789062,1.9512228,17.458,109.532166,1730973621548,1.5,45.0,771664050000000,1.8604381,0,,,
FLP,12.9293864,77.5202304,750.0999755859375,3.3479154,19.746,108.803635,1730973626564,1.5,45.0,771669065000000,1.4440778,0,,,
FLP,12.9293039,77.5204761,747.5999755859375,4.372957,22.727,108.91768,1730973631582,1.5,45.0,771674083000000,1.4282603,0,,,
FLP,12.9292184,77.5209167,750.3999633789062,,100.0,,1730973653632,1.5,45.0,771696133000000,1.6311475,0,,,
FLP,12.9284559,77.5205219,751.0,1.112177,12.82,206.77815,1730973658743,1.5,45.0,771701244000000,3.7486997,0,,,
FLP,12.9282454,77.5203709,752.0999755859375,5.5390925,15.642,214.89296,1730973663731,1.5,45.0,771706233000000,1.4517344,0,,,
FLP,12.9277979,77.5204159,752.2000122070312,9.60455,39.112,175.80049,1730973668739,1.5,45.0,771711240000000,1.4706492,0,,,
FLP,12.9275357,77.5201534,753.7000122070312,7.896224,26.806,216.78677,1730973673781,1.5,45.0,771716282000000,3.6428518,0,,,
FLP,12.927327,77.519947,754.2999877929688,6.563505,30.13,223.17377,1730973678785,1.5,45.0,771721287000000,2.0015643,0,,,
FLP,12.9271127,77.519894,755.5999755859375,4.878791,72.9,197.4708,1730973683917,1.5,45.0,771726419000000,4.5625477,0,,,
FLP,12.9267272,77.5197406,753.7000122070312,8.186488,58.392,200.61456,1730973688820,1.5,45.0,771731322000000,1.4611937,0,,,
FLP,12.9267174,77.5196836,754.2999877929688,1.8105471,38.832,228.41177,1730973694358,1.5,45.0,771736859000000,3.612954,0,,,
