Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9255686,77.5200986,757.2000122070312,0.59353745,24.742,67.73266,1730974190955,1.5,45.0,2287742096000000,1.0,0,,,
FLP,12.9255633,77.5201463,757.2000122070312,0.56572664,21.242,95.578674,1730974200120,1.5,45.0,2287751261000000,1.0,0,,,
FLP,12.9255412,77.5202507,757.2000122070312,1.4724951,16.358,101.010345,1730974205088,1.5,45.0,2287756229000000,1.0,0,,,
FLP,12.9254876,77.5204111,757.5,2.631892,22.988,106.97775,1730974210279,1.5,45.0,2287761420000000,1.0,0,,,
FLP,12.9255134,77.5203524,757.5,0.030225188,20.843,,1730974213846,0.06788012,,2287764987487719,1.0,0,,,
FLP,12.9255187,77.5203419,757.5,0.077378415,20.122,,1730974214547,0.107571356,,2287765688911796,1.0,0,,,
FLP,12.9255201,77.5203385,757.5,0.07075553,19.963,,1730974214991,0.10552108,,2287766132463796,1.0,0,,,
FLP,12.9255209,77.5203365,757.5,0.10556507,19.092,34.852978,1730974215469,0.13968517,45.0,2287766610047104,1.0,0,,,
FLP,12.9255212,77.5203352,757.5,0.120717585,19.186,32.29821,1730974216469,0.14457528,45.0,2287767610188950,1.0,0,,,
FLP,12.9255209,77.5203345,757.5,0.07645713,19.234,,1730974216971,0.11127182,,2287768112643796,1.0,0,,,
FLP,12.9255195,77.5203342,757.5,0.024281988,19.365,,1730974217783,0.06624489,,2287768924377335,1.0,0,,,
FLP,12.9255183,77.5203339,757.5,0.07692581,19.471,,1730974218291,0.10640839,,2287769432189335,1.0,0,,,
FLP,12.9255113,77.5203378,757.5999755859375,0.025649402,19.634,,1730974218720,0.07285436,,2287769861729872,1.0,0,,,
FLP,12.9255005,77.5205727,757.5999755859375,0.017927388,18.308,,1730974218927,0.048588153,,2287770069170258,1.0,0,,,
FLP,12.9255006,77.5205784,757.5999755859375,0.06513776,17.159,,1730974219491,0.08910977,,2287770632949566,1.0,0,,,
FLP,12.925478,77.5206044,759.0999755859375,0.06499818,18.556,,1730974220518,1.5,,2287771659000000,1.5649843,0,,,
FLP,12.9254915,77.5210951,759.2999877929688,8.249927,16.491,88.32284,1730974225936,1.5,45.0,2287777078000000,1.0563852,0,,,
FLP,12.925458,77.5212106,759.2999877929688,3.2854192,17.597,103.77217,1730974230314,1.5,45.0,2287781455000000,1.0,0,,,
FLP,12.9250507,77.5214153,761.2999877929688,9.462392,15.129,152.76244,1730974235328,1.5,45.0,2287786469000000,1.0,0,,,
FLP,12.9250201,77.5214721,761.2999877929688,1.7383542,13.944,128.1805,1730974240448,1.5,45.0,2287791589000000,1.0,0,,,
FLP,12.9249324,77.5216009,761.7999877929688,3.9856453,16.626,125.009254,1730974244561,1.5,45.0,2287795702000000,7.312684,0,,,
GPS,12.9251586,77.5213907,101.57743526169274,4.4444447,5.2728596,189.08548,1730974247329,,,2287798470277875,,1,,,
FLP,12.9251586,77.5213907,101.57743526169274,4.4444447,5.2728596,189.08548,1730974247329,,,2287798470277875,,1,,,
FLP,12.9251586,77.5213907,101.02200148741332,4.4444447,5.6609716,190.15677,1730974247591,,,2287798732457644,,1,,,
FLP,12.9251586,77.5213907,100.61897128723508,4.4444447,5.304162,190.88513,1730974247853,,,2287798994431414,,1,,,
FLP,12.9251586,77.5213907,101.47192318365153,4.4444447,5.7753234,190.33516,1730974248117,,,2287799258258260,,1,,,
GPS,12.9251586,77.5213907,100.3001872703189,4.4444447,6.1702724,188.722,1730974248247,,,2287799389030491,,1,,,
FLP,12.9251586,77.5213907,100.16722908471166,4.4444447,5.0811477,189.44963,1730974248386,,,2287799527677260,,1,,,
FLP,12.9251586,77.5213907,101.63281675910258,4.4444447,6.3556805,189.24095,1730974248655,,,2287799796958491,,1,,,
FLP,12.9251586,77.5213907,101.05323262947188,4.4444447,6.803547,189.32181,1730974248924,,,2287800065656644,,1,,,
GPS,12.9251586,77.5213907,100.25005526903438,4.4444447,5.7545357,189.95839,1730974249192,,,2287800333346260,,1,,,
FLP,12.9251586,77.5213907,100.25005526903438,4.4444447,5.7545357,189.95839,1730974249192,,,2287800333346260,,1,,,
FLP,12.9251586,77.5213907,101.99110158534307,4.4444447,6.6754985,190.25276,1730974249458,,,2287800599988106,,1,,,
FLP,12.9251586,77.5213907,100.51322452404398,4.4444447,5.1205344,188.43903,1730974249727,,,2287800868282183,,1,,,
FLP,12.9247754,77.5219862,765.7000122070312,,18.903,,1730974251012,1.5,45.0,2287802153000000,1.6635576,0,,,
FLP,12.9246837,77.5223045,770.8999633789062,3.04032,25.088,106.464035,1730974260525,1.5,45.0,2287811666000000,2.1148229,0,,,
GPS,12.9248354,77.5221957,100.44628033219222,4.4444447,5.622526,188.6351,1730974267911,,,2287819052996338,,1,,,
FLP,12.9248354,77.5221957,100.44628033219222,4.4444447,5.622526,188.6351,1730974267911,,,2287819052996338,,1,,,
FLP,12.9248354,77.5221957,100.7182450778092,4.4444447,5.5183754,191.0217,1730974268173,,,2287819314420953,,1,,,
FLP,12.9248354,77.5221957,101.90544153030504,4.4444447,6.5805216,188.62923,1730974268433,,,2287819574873338,,1,,,
FLP,12.9248354,77.5221957,101.96309580634178,4.4444447,6.366173,190.77563,1730974268696,,,2287819837367415,,1,,,
GPS,12.9248354,77.5221957,101.92909747078032,4.4444447,6.747337,188.73189,1730974268828,,,2287819969870799,,1,,,
FLP,12.9248354,77.5221957,100.01943801672049,4.4444447,5.5043845,190.30194,1730974268976,,,2287820117192723,,1,,,
FLP,12.9248354,77.5221957,101.72449048663567,4.4444447,5.174838,189.95238,1730974269248,,,2287820389844030,,1,,,
FLP,12.9248354,77.5221957,100.88950656406084,4.4444447,5.0896564,189.41272,1730974269513,,,2287820654985876,,1,,,
GPS,12.9248354,77.5221957,101.30543645372911,4.4444447,5.013492,189.28876,1730974269778,,,2287820919665569,,1,,,
FLP,12.9248354,77.5221957,101.30543645372911,4.4444447,5.013492,189.28876,1730974269778,,,2287820919665569,,1,,,
FLP,12.9248354,77.5221957,100.75325348116245,4.4444447,5.733709,189.82925,1730974270053,,,2287821194717953,,1,,,
FLP,12.9248354,77.5221957,100.47368251007744,4.4444447,5.25187,188.89003,1730974270318,,,2287821459917338,,1,,,
FLP,12.9248354,77.5221957,101.50078151503143,4.4444447,5.4837317,190.93182,1730974270580,,,2287821721887800,,1,,,
GPS,12.9248354,77.5221957,100.7977311764038,4.4444447,6.2663345,190.87466,1730974270714,,,2287821855873953,,1,,,
FLP,12.9248354,77.5221957,100.12864166055284,4.4444447,6.9451437,188.94107,1730974270856,,,2287821997781876,,1,,,
FLP,12.9248354,77.5221957,100.81264478011649,4.4444447,5.626981,188.77554,1730974271124,,,2287822265216953,,1,,,
GPS,12.9245067,77.5228931,100.23149848533431,4.4444447,6.9014554,190.78941,1730974279513,,,2287830654269877,,1,,,
FLP,12.9245067,77.5228931,100.23149848533431,4.4444447,6.9014554,190.78941,1730974279513,,,2287830654269877,,1,,,
FLP,12.9245067,77.5228931,101.61127394887748,4.4444447,6.64157,190.99738,1730974279775,,,2287830916887415,,1,,,
FLP,12.9245067,77.5228931,100.54591714994602,4.4444447,6.8223953,188.59174,1730974280036,,,2287831178123492,,1,,,
FLP,12.9245067,77.5228931,100.40736252600226,4.4444447,6.4174438,188.56082,1730974280300,,,2287831441657031,,1,,,
GPS,12.9245067,77.5228931,101.44482487384948,4.4444447,5.772311,188.70377,1730974280434,,,2287831575439723,,1,,,
FLP,12.9245067,77.5228931,100.85120385291988,4.4444447,6.299564,190.68895,1730974280571,,,2287831712718262,,1,,,
FLP,12.9245067,77.5228931,100.18940737865596,4.4444447,5.107732,189.65599,1730974280837,,,2287831978529339,,1,,,
FLP,12.9245067,77.5228931,101.26025531519198,4.4444447,5.8167696,189.84435,1730974281100,,,2287832241793646,,1,,,
GPS,12.9245067,77.5228931,100.64167721227126,4.4444447,6.502248,188.37234,1730974281365,,,2287832506367800,,1,,,
FLP,12.9245067,77.5228931,100.64167721227126,4.4444447,6.502248,188.37234,1730974281365,,,2287832506367800,,1,,,
FLP,12.9245067,77.5228931,101.16778362089504,4.4444447,6.996983,189.20836,1730974281633,,,2287832774977646,,1,,,
FLP,12.9245067,77.5228931,101.18376459017858,4.4444447,6.7961545,190.93039,1730974281914,,,2287833056046800,,1,,,
GPS,12.9245067,77.5228931,101.13082148841671,4.4444447,5.769868,189.43738,1730974283416,,,2287834558110493,,1,,,
FLP,12.9245067,77.5228931,101.13082148841671,4.4444447,5.769868,189.43738,1730974283416,,,2287834558110493,,1,,,
FLP,12.9245067,77.5228931,100.32180462990983,4.4444447,5.867415,190.07623,1730974283680,,,2287834821511416,,1,,,
FLP,12.9245067,77.5228931,101.71237099412554,4.4444447,6.899682,190.54788,1730974283943,,,2287835084194570,,1,,,
FLP,12.9245067,77.5228931,101.99176799838357,4.4444447,6.282386,190.22542,1730974284208,,,2287835349709262,,1,,,
GPS,12.9245067,77.5228931,101.1123031072579,4.4444447,5.5032215,189.36885,1730974284342,,,2287835483223416,,1,,,
FLP,12.9245067,77.5228931,100.30346515494467,4.4444447,6.3614187,190.33519,1730974284475,,,2287835616341031,,1,,,
