Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9370839,77.5409975,792.0999755859375,0.05480441,3.206,,1726561817956,0.08060592,,683055650355636,1.0227035,0,,,
GPS,12.9370894795,77.5409952924,787.0,0.0,2.5,,1726561819000,0.04,,683056653316713,5.0,0,,,
FLP,12.937084,77.5409969,792.0999755859375,0.05345524,3.248,,1726561818958,0.081664905,,683056653316713,1.0327332,0,,,
GPS,12.9370894795,77.5409952924,787.0,0.0,2.5,,1726561820000,0.04,,683057661777404,5.0,0,,,
FLP,12.9370847,77.5409967,792.0999755859375,0.05747546,3.254,,1726561819967,0.0839159,,683057661777404,1.0428178,0,,,
GPS,12.9370894795,77.5409952924,787.0,0.0,2.5,,1726561821000,0.03,,683058663780403,5.0,0,,,
FLP,12.9370858,77.5409962,792.0999755859375,0.011463767,3.338,,1726561820968,0.035379,,683058663780403,1.0528378,0,,,
GPS,12.9370894795,77.5409952924,787.0,0.0,2.5,,1726561822000,0.02,,683059664415787,5.0,0,,,
FLP,12.9370862,77.5409959,792.0999755859375,0.014457755,3.287,,1726561821969,0.045117218,,683059664415787,1.0628442,0,,,
GPS,12.9370894795,77.5409952924,787.0,0.0,2.5,,1726561823000,0.02,,683060658119825,5.0,0,,,
FLP,12.9370865,77.5409959,792.0999755859375,0.012712715,3.219,,1726561822963,0.04486362,,683060658119825,1.0727812,0,,,
GPS,12.9370894795,77.5409952924,787.0,0.0,2.5,,1726561824000,0.01,,683061659141555,5.0,0,,,
FLP,12.9370871,77.5409953,792.0999755859375,0.011794299,3.17,,1726561823964,0.04003247,,683061659141555,1.0827914,0,,,
GPS,12.9370894795,77.5409952924,787.0,0.0,3.0,,1726561825000,0.05,,683062658306285,5.0,0,,,
FLP,12.9370888,77.5409953,792.0999755859375,0.011793195,3.142,,1726561824964,0.05,,683062658306285,1.0927831,0,,,
NLP,12.9370699,77.5410209,792.0999755859375,,12.453,,1726561824980,,,683062675000000,1.0,0,,,
GPS,12.9370894795,77.5409952924,787.0,0.0,2.5,,1726561826000,0.02,,683063640013708,5.0,0,,,
FLP,12.9370894,77.5409953,792.0999755859375,0.011307581,3.116,,1726561825945,0.02,,683063640013708,1.0096501,0,,,
GPS,12.9370894795,77.5409952924,787.0,0.0,2.5,,1726561827000,0.19,,683064634475899,5.0,0,,,
FLP,12.9370895,77.5409953,792.0999755859375,0.010637905,3.01,,1726561826939,0.19,,683064634475899,1.0195948,0,,,
GPS,12.9370894795,77.5409952924,787.0,0.0,2.5,,1726561828000,0.23,,683065662021706,5.0,0,,,
FLP,12.9370895,77.5409953,792.0999755859375,0.009782965,2.891,,1726561827967,0.23,,683065662021706,1.0298703,0,,,
GPS,12.9370979872,77.5410146546,789.0,0.72999996,2.5,0.0,1726561829000,0.32,180.0,683066649164398,5.0,0,,,
FLP,12.9370974,77.5410096,792.0999755859375,0.7135889,2.835,8.066698,1726561828955,0.32,180.0,683066649164398,1.0397416,0,,,
GPS,12.9371043993,77.5410232879,788.0,1.79,2.5,0.0,1726561830000,0.3,180.0,683067659023282,4.0,0,,,
FLP,12.9371046,77.54102,792.0999755859375,1.681254,2.707,5.6104174,1726561829965,0.3,180.0,683067659023282,1.0498402,0,,,
NLP,12.9371085,77.5410122,791.7999877929688,,11.702,,1726561830006,,,683067701000000,1.0,0,,,
GPS,12.9371158825,77.5410320889,787.0,1.8199999,3.0,16.0,1726561831000,0.21,3.0,683068661178896,5.0,0,,,
FLP,12.937117,77.5410301,791.7999877929688,1.8156339,2.896,16.001446,1726561830966,0.21,3.0,683068661178896,1.0096018,0,,,
GPS,12.937130928,77.541039465,787.0,2.02,3.0,17.3,1726561832000,0.23,3.3,683069658499780,5.0,0,,,
FLP,12.9371314,77.5410382,791.7999877929688,2.0071716,2.979,17.043957,1726561831963,0.23,3.3,683069658499780,1.019575,0,,,
GPS,12.9371471051,77.5410535466,786.0,1.9699999,3.0,18.5,1726561833000,0.21,2.1,683070660622626,4.0,0,,,
FLP,12.9371475,77.5410507,791.7999877929688,1.9723037,2.982,17.97008,1726561832966,0.21,2.1,683070660622626,1.0295962,0,,,
GPS,12.9371645814,77.5410633534,785.0,2.27,3.0,20.6,1726561834000,0.41,3.2,683071667093933,4.0,0,,,
FLP,12.9371646,77.5410614,791.7999877929688,2.223584,3.146,20.208738,1726561833973,0.41,3.2,683071667093933,1.0396609,0,,,
GPS,12.9371871287,77.5410733279,785.0,2.1299999,3.0,22.5,1726561835000,0.33,3.3,683072664736355,4.0,0,,,
FLP,12.937186,77.541072,791.7999877929688,2.1412802,3.229,21.843914,1726561834969,0.33,3.3,683072664736355,1.0496373,0,,,
FLP,12.9371973,77.5410769,791.7999877929688,2.122641,3.368,22.47514,1726561835471,0.28147832,45.0,683073165606162,1.0496373,0,,,
GPS,12.9372074967,77.541080704,785.0,2.06,3.0,22.6,1726561836000,0.24,2.3,683073659129508,5.0,0,,,
FLP,12.9372068,77.5410803,791.7999877929688,2.0838568,3.649,22.625462,1726561835964,0.19436795,45.0,683073659129508,1.0595813,0,,,
FLP,12.9372152,77.5410836,791.7999877929688,2.0675867,3.993,22.634377,1726561836395,0.2427061,45.0,683074090177085,1.0595813,0,,,
GPS,12.9372265236,77.5410890859,784.0,2.06,3.5,23.5,1726561837000,0.29,3.1,683074662944815,5.0,0,,,
FLP,12.937226,77.5410891,791.7999877929688,2.0665634,4.388,22.94498,1726561836967,0.24178523,45.0,683074662944815,1.0696194,0,,,
FLP,12.9372378,77.5410946,791.7999877929688,2.071785,4.704,23.159573,1726561837572,0.27942804,45.0,683075267946815,1.0696194,0,,,
GPS,12.9372493643,77.5410979707,784.0,2.47,3.5,21.1,1726561838000,0.31,2.8,683075662317930,5.0,0,,,
FLP,12.937247,77.541098,791.7999877929688,2.2583168,5.05,21.572563,1726561837968,0.24330612,45.0,683075662317930,1.0796132,0,,,
FLP,12.9372526,77.5411,791.7999877929688,2.3460262,5.158,20.896849,1726561838192,0.2773733,45.0,683075887805468,1.0796132,0,,,
