Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9340604,77.5420066,798.2999877929688,0.7169735,20.662,101.82809,1727328863886,1.5,45.0,1450109537000000,1.6440394,0,,,
FLP,12.9340917,77.5419109,795.7000122070312,1.1963376,25.527,288.68454,1727328872514,1.5,45.0,1450118165000000,3.906738,0,,,
FLP,12.9341549,77.5419533,795.5999755859375,1.4956712,27.6,31.07658,1727328877809,1.5,45.0,1450123459000000,5.030338,0,,,
GPS,12.9341423,77.5422191,101.9193279075252,6.9444447,5.9070053,106.7202,1727328879800,,,1450125451383546,,1,,,
FLP,12.9341423,77.5422191,101.9193279075252,6.9444447,5.9070053,106.7202,1727328879800,,,1450125451383546,,1,,,
GPS,12.9341945,77.5422549,101.10539955794712,6.9444447,5.0362077,35.745995,1727328880798,,,1450126449059776,,1,,,
FLP,12.9341945,77.5422549,101.10539955794712,6.9444447,5.0362077,35.745995,1727328880798,,,1450126449059776,,1,,,
GPS,12.9342188,77.5422717,100.34727372408852,6.9444447,5.089652,34.729736,1727328881731,,,1450127381755930,,1,,,
FLP,12.9342188,77.5422717,100.34727372408852,6.9444447,5.089652,34.729736,1727328881731,,,1450127381755930,,1,,,
GPS,12.9342188,77.5422717,101.39986343452354,6.9444447,5.802035,36.308212,1727328882658,,,1450128309452121,,1,,,
FLP,12.9342188,77.5422717,101.39986343452354,6.9444447,5.802035,36.308212,1727328882658,,,1450128309452121,,1,,,
FLP,12.9341337,77.5421578,799.2999877929688,,37.352,,1727328882810,1.5,45.0,1450128461000000,3.294812,0,,,
GPS,12.9342804,77.5422576,100.84404856763528,6.9444447,5.650499,349.65094,1727328883587,,,1450129238051890,,1,,,
FLP,12.9342804,77.5422576,100.84404856763528,6.9444447,5.650499,349.65094,1727328883587,,,1450129238051890,,1,,,
GPS,12.9342992,77.5422532,100.3608171630153,6.9444447,6.483546,348.1255,1727328884522,,,1450130173301812,,1,,,
FLP,12.9342992,77.5422532,100.3608171630153,6.9444447,6.483546,348.1255,1727328884522,,,1450130173301812,,1,,,
GPS,12.934351,77.54229,100.47687170253889,6.9444447,6.244639,34.957424,1727328885452,,,1450131103337965,,1,,,
FLP,12.934351,77.54229,100.47687170253889,6.9444447,6.244639,34.957424,1727328885452,,,1450131103337965,,1,,,
GPS,12.9343691,77.5423029,100.93386978521964,6.9444447,5.251957,35.40357,1727328886391,,,1450132041806618,,1,,,
