Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9342109,77.5434648,805.5999755859375,0.5256631,26.704,107.57004,1727332468551,1.5,45.0,664039662000000,1.4411259,0.0,,,
FLP,12.9341988,77.543445,805.7999877929688,0.42515957,24.208,233.07626,1727332473610,1.5,45.0,664044721000000,1.5178008,0.0,,,
FLP,12.9342095,77.5434492,805.7000122070312,0.2067057,25.173,15.661383,1727332478548,1.5,45.0,664049658000000,1.1709851,0.0,,,
FLP,12.9342081,77.5434816,805.5999755859375,0.628609,30.074,91.00503,1727332483671,1.5,45.0,664054781000000,2.40883,0.0,,,
FLP,12.9341298,77.543345,804.5,2.9675303,21.357,238.92099,1727332488773,1.5,45.0,664059884000000,1.9784545,0.0,,,
FLP,12.9342249,77.5432627,804.5,2.6404145,21.508,315.25534,1727332493710,1.5,45.0,664064820000000,1.5536203,0.0,,,
FLP,12.9342551,77.5430747,804.2000122070312,3.969792,21.064,281.04044,1727332498721,1.5,45.0,664069831000000,1.1467764,0.0,,,
FLP,12.934342,77.5428687,804.2000122070312,4.9344716,27.949,292.66647,1727332503562,1.5,45.0,664074672000000,1.5794252,0.0,,,
FLP,12.9344136,77.5426507,804.5,4.96071,33.239,289.15137,1727332508581,1.5,45.0,664079691000000,2.6960635,0.0,,,
FLP,12.9345786,77.5424888,802.5,5.0123043,33.166,313.25742,1727332513571,1.5,45.0,664084682000000,1.7250283,0.0,,,
FLP,12.934492,77.5424069,802.0999755859375,2.3718145,19.37,236.88324,1727332518588,1.5,45.0,664089699000000,1.1159273,0.0,,,
FLP,12.9345359,77.5423757,802.3999633789062,1.1178685,18.181,317.3847,1727332523621,1.5,45.0,664094732000000,1.0,0.0,,,
FLP,12.9346516,77.5423348,802.5,2.6114316,20.308,340.39758,1727332528623,1.5,45.0,664099734000000,1.2625417,0.0,,,
FLP,12.9349727,77.5423937,804.2999877929688,6.849455,20.834,9.56274,1727332533726,1.5,45.0,664104836000000,1.1900595,0.0,,,
FLP,12.9349683,77.5425027,804.2999877929688,3.3187313,19.044,34.35845,1727332538659,1.5,45.0,664109769000000,1.0,0.0,,,
FLP,12.9349255,77.5426145,804.2999877929688,2.3312614,16.851,67.51816,1727332543631,1.5,45.0,664114742000000,1.0,0.0,,,
FLP,12.93488,77.5427882,805.2999877929688,2.9080338,18.145,90.39785,1727332548693,1.5,45.0,664119804000000,1.1253393,0.0,,,
FLP,12.9348361,77.5429242,805.2999877929688,2.9378722,22.965,99.00851,1727332553781,1.5,45.0,664124891000000,2.2000587,0.0,,,
FLP,12.9347761,77.5431306,805.5,3.7124212,41.359,103.18179,1727332558682,1.5,45.0,664129792000000,2.7569075,0.0,,,
FLP,12.934616,77.5434381,805.7000122070312,5.034555,42.516,111.34417,1727332563851,1.5,45.0,664134961000000,2.365085,0.0,,,
FLP,12.9346307,77.543625,805.7000122070312,4.6426377,37.507,103.668144,1727332568712,1.5,45.0,664139822000000,1.1565174,0.0,,,
