Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9342767,77.543455,805.7999877929688,0.0,1.55,,1727332472003,1.1,,121202145000000,1.04696,0,,,
GPS,12.9342766667,77.543455,786.9,0.0,1.8,307.06,1727332473000,1.6,114.6,121203145000000,16.2,0,,,
FLP,12.9342767,77.543455,805.7999877929688,0.0,1.616,,1727332473003,1.6,,121203145000000,1.05696,0,,,
GPS,12.9342816667,77.54346,784.6,0.22236,1.8,28.14,1727332474000,1.6,104.4,121204145000000,15.7,0,,,
FLP,12.9342809,77.5434592,805.7999877929688,0.21612525,1.683,28.552568,1727332474004,1.6,104.4,121204145000000,1.06696,0,,,
GPS,12.9342833333,77.5434616667,784.7,0.0,1.9,11.72,1727332475000,1.7,179.9,121205145000000,16.3,0,,,
FLP,12.9342832,77.5434615,805.7999877929688,0.008770856,1.75,,1727332475004,1.7,,121205145000000,1.07696,0,,,
GPS,12.9342833333,77.54346,784.7,0.0,2.0,9.05,1727332476000,1.7,179.9,121206145000000,16.4,0,,,
FLP,12.9342833,77.5434602,805.7999877929688,0.00040734894,1.816,,1727332476004,1.7,,121206145000000,1.03576,0,,,
GPS,12.9342833333,77.54346,784.7,0.0,2.0,286.93,1727332477000,2.0,179.9,121207145000000,16.3,0,,,
FLP,12.9342833,77.5434601,805.7999877929688,5.2025716e-05,1.866,,1727332477003,2.0,,121207145000000,1.04576,0,,,
GPS,12.9342833333,77.54346,784.7,0.0,2.1,286.93,1727332478000,1.7,48.3,121208145000000,16.4,0,,,
FLP,12.9342833,77.54346,805.7999877929688,9.6421245e-05,1.933,,1727332478004,1.7,,121208145000000,1.05576,0,,,
GPS,12.9342833333,77.54346,784.7,0.0,2.1,286.93,1727332479000,2.4,179.9,121209145000000,16.3,0,,,
FLP,12.9342833,77.54346,805.7999877929688,0.00010846249,1.983,,1727332479004,2.4,,121209145000000,1.06576,0,,,
GPS,12.9342833333,77.54346,784.7,0.0,2.1,286.93,1727332480000,2.0,123.6,121210145000000,16.1,0,,,
FLP,12.9342833,77.54346,805.7999877929688,8.2256964e-05,2.033,,1727332480004,2.0,,121210145000000,1.1657068,0,,,
GPS,12.9342633333,77.5434583333,784.5,0.4313372,2.1,165.19,1727332481000,1.7,179.9,121211145000000,16.2,0,,,
FLP,12.9342688,77.5434589,805.7999877929688,0.119883776,2.066,155.12003,1727332481004,1.7,179.9,121211145000000,1.1757067,0,,,
GPS,12.9342616667,77.5434566667,784.3000000000001,0.0,2.1,165.19,1727332482000,1.2,124.3,121212145000000,15.1,0,,,
FLP,12.9342635,77.5434573,805.7999877929688,0.061758775,2.083,,1727332482004,1.2,,121212145000000,1.1857067,0,,,
GPS,12.9342583333,77.5434516667,784.6,0.4493525,2.0,205.9,1727332483000,1.0,76.8,121213145000000,15.2,0,,,
FLP,12.9342593,77.5434532,805.7999877929688,0.29340422,2.083,202.98943,1727332483004,1.0,76.8,121213145000000,1.1957067,0,,,
GPS,12.9342533333,77.54345,784.9,0.44986722,2.0,201.64,1727332484000,0.9,60.0,121214145000000,15.1,0,,,
FLP,12.9342542,77.5434506,805.7999877929688,0.3938748,2.066,202.43556,1727332484004,0.9,60.0,121214145000000,1.2057067,0,,,
GPS,12.9342466667,77.5434466667,785.1,0.0,2.0,201.64,1727332485000,1.5,78.3,121215145000000,15.6,0,,,
FLP,12.934248,77.5434475,805.699951171875,0.24149233,2.05,189.07935,1727332485004,1.5,78.3,121215145000000,1.03769,0,,,
GPS,12.9342416667,77.5434466667,785.3000000000001,0.0,2.1,201.64,1727332486000,1.6,95.6,121216145000000,15.8,0,,,
FLP,12.934243,77.5434468,805.699951171875,0.15584067,2.05,183.92174,1727332486003,1.6,95.6,121216145000000,1.04769,0,,,
GPS,12.9342266667,77.5434433333,785.5,0.0,2.1,201.64,1727332487000,1.2,45.8,121217145000000,16.1,0,,,
FLP,12.9342309,77.5434443,805.699951171875,0.09066335,2.05,,1727332487003,1.2,,121217145000000,1.05769,0,,,
GPS,12.934215,77.5434333333,786.5,0.5970778,2.1,201.62,1727332488000,1.6,60.0,121218145000000,17.0,0,,,
FLP,12.9342189,77.5434363,805.699951171875,0.30524555,2.05,203.00183,1727332488004,1.6,60.0,121218145000000,1.06769,0,,,
GPS,12.9342016667,77.5434316667,786.6,0.64031446,2.0,195.97,1727332489000,1.7,77.1,121219145000000,16.7,0,,,
FLP,12.9342055,77.5434326,805.699951171875,0.44723895,2.05,199.00156,1727332489004,1.7,77.1,121219145000000,1.07769,0,,,
GPS,12.9341933333,77.543425,786.7,0.0,2.1,195.97,1727332490000,1.6,58.4,121220145000000,17.1,0,,,
FLP,12.9341959,77.5434269,804.699951171875,0.2725627,2.066,184.37627,1727332490003,1.6,58.4,121220145000000,1.1243778,0,,,
GPS,12.9341833333,77.54341,787.3000000000001,0.8199525,2.1,244.37,1727332491000,1.6,45.5,121221145000000,15.5,0,,,
FLP,12.9341849,77.5434127,804.699951171875,0.7960998,2.083,243.24011,1727332491004,1.6,45.5,121221145000000,1.1343778,0,,,
GPS,12.9341733333,77.5433966667,787.5,0.0,2.1,244.37,1727332492000,1.7,55.0,121222145000000,15.6,0,,,
FLP,12.9341746,77.5433982,804.699951171875,0.028752556,2.083,,1727332492004,1.7,,121222145000000,1.1443778,0,,,
GPS,12.93417,77.5433816667,787.9,0.0,2.1,244.37,1727332493000,1.7,39.7,121223145000000,15.8,0,,,
FLP,12.9341707,77.5433842,804.699951171875,0.003227873,2.083,,1727332493004,1.7,,121223145000000,1.1543778,0,,,
GPS,12.934165,77.5433616667,788.8000000000001,1.1277564,2.1,280.41,1727332494000,1.9,41.0,121224145000000,15.5,0,,,
FLP,12.9341659,77.5433651,804.699951171875,1.0696481,2.083,280.40845,1727332494004,1.9,41.0,121224145000000,1.1643778,0,,,
GPS,12.9341633333,77.5433416667,789.0,1.2343038,2.1,288.07,1727332495000,1.9,34.4,121225145000000,15.7,0,,,
FLP,12.934164,77.5433438,804.5,1.2307352,2.1,287.91635,1727332495004,1.9,34.4,121225145000000,1.03734,0,,,
GPS,12.93417,77.54332,789.1,1.3743083,2.2,290.47,1727332496000,1.8,30.8,121226145000000,16.4,0,,,
FLP,12.9341694,77.5433232,804.5,1.3557372,2.116,288.85703,1727332496004,1.8,30.8,121226145000000,1.04734,0,,,
GPS,12.9341766667,77.5432983333,788.7,1.486003,2.1,286.53,1727332497000,1.9,33.6,121227145000000,16.1,0,,,
FLP,12.9341757,77.5433017,804.5,1.444297,2.116,287.12366,1727332497004,1.9,33.6,121227145000000,1.05734,0,,,
GPS,12.9341833333,77.5432683333,788.5,0.0,2.2,286.53,1727332498000,2.0,28.4,121228145000000,16.0,0,,,
FLP,12.9341818,77.5432748,804.5,0.9756296,2.133,275.25854,1727332498004,2.0,28.4,121228145000000,1.06734,0,,,
GPS,12.9341883333,77.5432366667,788.6,1.8777066,2.2,282.78,1727332499000,2.0,25.5,121229145000000,16.2,0,,,
FLP,12.9341868,77.543244,804.5,1.3530037,2.15,280.44873,1727332499004,2.0,25.5,121229145000000,1.07734,0,,,
GPS,12.9341966667,77.5431983333,788.4,2.1433034,2.2,283.21,1727332500000,2.0,20.2,121230145000000,16.2,0,,,
FLP,12.9341947,77.5432068,804.5999755859375,1.7110113,2.166,283.13464,1727332500004,2.0,20.2,121230145000000,1.02678,0,,,
GPS,12.9342033333,77.543155,787.8000000000001,2.4104443,2.1,286.22,1727332501000,1.7,14.6,121231145000000,16.0,0,,,
FLP,12.9342021,77.5431643,804.5999755859375,2.0946915,2.166,285.82874,1727332501004,1.7,14.6,121231145000000,1.03678,0,,,
GPS,12.9342133333,77.5431083333,788.5,2.714645,2.2,284.09,1727332502000,2.0,19.2,121232145000000,16.4,0,,,
FLP,12.9342117,77.5431181,804.5999755859375,2.37792,2.166,285.05057,1727332502004,2.0,19.2,121232145000000,1.04678,0,,,
GPS,12.934225,77.5430683333,789.2,2.9704618,2.2,288.61,1727332503000,2.0,18.5,121233145000000,16.8,0,,,
FLP,12.934223,77.5430757,804.5999755859375,2.653147,2.183,286.851,1727332503003,2.0,18.5,121233145000000,1.05678,0,,,
GPS,12.9342383333,77.543035,790.3000000000001,3.16863,2.3,284.93,1727332504000,1.8,17.7,121234145000000,17.3,0,,,
FLP,12.934236,77.5430393,804.5999755859375,2.8825686,2.2,285.59854,1727332504004,1.8,17.7,121234145000000,1.06678,0,,,
GPS,12.9342483333,77.543005,791.4,3.3328264,2.3,290.01,1727332505000,2.2,22.5,121235145000000,18.0,0,,,
FLP,12.934247,77.5430071,804.5999755859375,3.0392005,2.216,287.52454,1727332505003,2.2,22.5,121235145000000,1.07678,0,,,
GPS,12.9342566667,77.5429916667,792.0,3.4414327,2.4,301.97,1727332506000,1.8,21.5,121236145000000,17.3,0,,,
FLP,12.9342568,77.5429886,804.5999755859375,3.1533918,2.25,293.5361,1727332506004,1.8,21.5,121236145000000,1.08678,0,,,
GPS,12.9342683333,77.5429716667,792.3000000000001,3.5006258,2.5,300.98,1727332507000,2.2,32.0,121237145000000,17.8,0,,,
FLP,12.9342685,77.542969,804.5999755859375,3.2182646,2.316,295.55334,1727332507004,2.2,32.0,121237145000000,1.09678,0,,,
GPS,12.9342783333,77.5429516667,792.5,3.5160675,2.6,301.89,1727332508000,2.3,30.9,121238145000000,19.0,0,,,
FLP,12.9342793,77.5429491,804.5999755859375,3.272778,2.383,297.38055,1727332508004,2.3,30.9,121238145000000,1.10678,0,,,
GPS,12.9342866667,77.5429283333,792.5,3.4810665,2.6,301.13,1727332509000,2.6,35.3,121239145000000,18.5,0,,,
FLP,12.9342885,77.5429266,804.5999755859375,3.2975125,2.45,298.25427,1727332509004,2.6,35.3,121239145000000,1.11678,0,,,
GPS,12.9342916667,77.542905,792.4,3.42805,2.6,295.96,1727332510000,2.6,31.8,121240145000000,18.8,0,,,
FLP,12.9342946,77.5429035,804.5999755859375,3.2940924,2.5,296.96384,1727332510004,2.6,31.8,121240145000000,1.12678,0,,,
GPS,12.934305,77.5428633333,791.8000000000001,3.3626802,2.6,294.07,1727332511000,2.3,25.9,121241145000000,18.8,0,,,
FLP,12.9343057,77.5428667,804.5999755859375,3.345468,2.55,295.40616,1727332511004,2.3,25.9,121241145000000,1.13678,0,,,
GPS,12.9343183333,77.5428283333,791.9,3.2772365,2.5,292.65,1727332512000,2.0,21.7,121242145000000,18.6,0,,,
FLP,12.9343182,77.5428311,804.5999755859375,3.3385313,2.566,293.58252,1727332512004,2.0,21.7,121242145000000,1.14678,0,,,
GPS,12.9343266667,77.5428,791.5,3.1588502,2.5,292.65,1727332513000,2.2,27.8,121243145000000,17.6,0,,,
FLP,12.9343276,77.5428009,804.5999755859375,3.2867396,2.566,292.81082,1727332513003,2.2,27.8,121243145000000,1.15678,0,,,
GPS,12.9343266667,77.5427733333,791.5,3.0440671,2.5,287.88,1727332514000,2.1,33.8,121244145000000,17.3,0,,,
FLP,12.9343298,77.5427733,804.5999755859375,3.196366,2.55,290.59195,1727332514004,2.1,33.8,121244145000000,1.16678,0,,,
GPS,12.9343216667,77.54274,791.1,2.9642854,2.5,278.91,1727332515000,2.1,30.9,121245145000000,17.7,0,,,
FLP,12.9343261,77.5427416,804.5999755859375,3.0985868,2.533,285.08878,1727332515003,2.1,30.9,121245145000000,1.17678,0,,,
GPS,12.9343233333,77.5427,791.4,2.9045775,2.4,281.83,1727332516000,1.8,24.3,121246145000000,17.6,0,,,
FLP,12.9343258,77.5427039,804.5999755859375,3.0492136,2.5,282.54276,1727332516003,1.8,24.3,121246145000000,1.18678,0,,,
GPS,12.9343283333,77.542675,791.2,2.8809004,2.4,284.32,1727332517000,2.0,30.6,121247145000000,17.9,0,,,
FLP,12.9343293,77.5426755,804.5999755859375,2.999065,2.466,282.88968,1727332517004,2.0,30.6,121247145000000,1.19678,0,,,
GPS,12.9343366667,77.5426466667,790.9,2.886562,2.4,289.64,1727332518000,2.2,29.3,121248145000000,17.3,0,,,
FLP,12.9343365,77.5426473,804.5999755859375,2.976001,2.45,285.08624,1727332518003,2.2,29.3,121248145000000,1.20678,0,,,
GPS,12.9343583333,77.5426,793.7,2.911269,2.4,296.13,1727332519000,2.0,24.7,121249145000000,17.4,0,,,
FLP,12.9343546,77.5426058,804.5999755859375,3.0173745,2.433,289.6888,1727332519003,2.0,24.7,121249145000000,1.21678,0,,,
GPS,12.93437,77.5425616667,793.3000000000001,2.8680322,2.4,294.12,1727332520000,2.3,34.0,121250145000000,17.3,0,,,
FLP,12.9343684,77.5425666,804.5999755859375,3.0303621,2.416,290.79263,1727332520004,2.3,34.0,121250145000000,1.22678,0,,,
GPS,12.9343783333,77.542515,792.3000000000001,2.8006036,2.5,294.95,1727332521000,2.3,35.4,121251145000000,17.7,0,,,
FLP,12.9343783,77.542522,804.5999755859375,3.0394104,2.416,291.1554,1727332521004,2.3,35.4,121251145000000,1.23678,0,,,
GPS,12.934385,77.5424666667,790.0,2.696115,2.5,291.51,1727332522000,2.5,42.3,121252145000000,17.7,0,,,
