Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9342599,77.5435196,805.8999633789062,1.3175492,28.549,44.554592,1727332475523,1.5,45.0,573231957000000,1.3205215,0,,,
FLP,12.9342056,77.5434591,805.5999755859375,1.3929888,23.652,227.56352,1727332480970,1.5,45.0,573237404000000,1.1006181,0,,,
FLP,12.9341592,77.5434162,804.699951171875,1.3837742,23.816,222.48389,1727332485988,1.5,45.0,573242422000000,1.1472315,0,,,
GPS,12.9341965,77.5434314,100.89015800967007,3.683871,5.1824117,17.031698,1727332491458,,,573247892582499,,1,,,
FLP,12.9341965,77.5434314,100.89015800967007,3.683871,5.1824117,17.031698,1727332491458,,,573247892582499,,1,,,
FLP,12.9341965,77.5434314,100.9443798421013,3.683871,5.7449102,19.25942,1727332491732,,,573248166481196,,1,,,
FLP,12.9341965,77.5434314,100.9662152838196,3.683871,6.662353,17.569511,1727332491998,,,573248432701925,,1,,,
FLP,12.9341965,77.5434314,101.97476974949753,3.683871,5.158277,19.066643,1727332492268,,,573248702223384,,1,,,
GPS,12.9342012,77.5433804,100.66058103787049,5.5555553,5.4066906,278.07007,1727332492401,,,573248835775259,,1,,,
FLP,12.9342012,77.5433804,100.38057468881874,5.5555553,6.8975525,275.9249,1727332492550,,,573248984731300,,1,,,
FLP,12.9342012,77.5433804,100.40601376193756,5.5555553,5.014596,277.9492,1727332492841,,,573249276076040,,1,,,
FLP,12.9342012,77.5433804,101.90551873959372,5.5555553,5.508547,277.1752,1727332493135,,,573249569425467,,1,,,
GPS,12.9342058,77.5433291,101.77070777167818,5.5555553,6.954819,276.13126,1727332493415,,,573249849764425,,1,,,
FLP,12.9342058,77.5433291,101.77070777167818,5.5555553,6.954819,276.13126,1727332493415,,,573249849764425,,1,,,
FLP,12.9342058,77.5433291,100.31228136451354,5.5555553,6.6382494,278.11926,1727332493683,,,573250117329112,,1,,,
FLP,12.9342058,77.5433291,100.41720479946429,5.5555553,6.8784847,276.20764,1727332493953,,,573250387353331,,1,,,
FLP,12.9342058,77.5433291,101.9900132064533,5.5555553,6.4562593,276.90698,1727332494230,,,573250664847133,,1,,,
GPS,12.9342105,77.5432776,100.32323521026365,5.5555553,5.366352,276.74054,1727332494376,,,573250810406143,,1,,,
FLP,12.9342105,77.5432776,101.27323043504266,5.5555553,6.8413296,277.01328,1727332494520,,,573250954588018,,1,,,
FLP,12.9342105,77.5432776,101.64492569415664,5.5555553,6.269586,275.7114,1727332494789,,,573251223150518,,1,,,
FLP,12.9342105,77.5432776,100.92109248256338,5.5555553,6.7372603,276.61642,1727332495058,,,573251492239841,,1,,,
GPS,12.9342105,77.5432776,100.0253544531589,5.5555553,5.5121794,276.10657,1727332495334,,,573251768885257,,1,,,
FLP,12.9342105,77.5432776,100.0253544531589,5.5555553,5.5121794,276.10657,1727332495334,,,573251768885257,,1,,,
FLP,12.9342123,77.5432587,100.07573202080944,5.5555553,5.8622746,277.76547,1727332495620,,,573252054847132,,1,,,
FLP,12.9342123,77.5432587,101.8938718798885,5.5555553,6.145434,278.02524,1727332495913,,,573252347345361,,1,,,
FLP,12.9342123,77.5432587,100.0510042326681,5.5555553,6.186447,276.28412,1727332496200,,,573252635016768,,1,,,
GPS,12.9342123,77.5432587,101.78140641247202,5.5555553,6.995072,276.75006,1727332496345,,,573252779396611,,1,,,
FLP,12.9342263,77.5432093,101.6804699862702,5.5555553,6.699102,286.65363,1727332496484,,,573252919125882,,1,,,
FLP,12.9342263,77.5432093,100.23121801378882,5.5555553,5.326105,288.84665,1727332496761,,,573253195571663,,1,,,
