Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9367213,77.5435104,795.5,0.06330769,14.248,,1727334661690,1.5,,575418125000000,1.0679178,0,,,
FLP,12.9367061,77.5434718,795.699951171875,0.6528828,26.851,248.00218,1727334668411,1.5,45.0,575424845000000,1.0915465,0,,,
FLP,12.936791,77.5433099,795.5999755859375,2.1847029,21.553,291.5802,1727334673421,1.5,45.0,575429855000000,1.0458674,0,,,
FLP,12.936844,77.5430352,796.7999877929688,3.9124565,16.504,284.36478,1727334678433,1.5,45.0,575434867000000,1.0877166,0,,,
FLP,12.9369448,77.5428098,795.3999633789062,4.578285,19.213,290.04907,1727334683448,1.5,45.0,575439883000000,1.2305278,0,,,
FLP,12.9370597,77.5425539,795.199951171875,5.258697,32.778,292.53693,1727334688480,1.5,45.0,575444914000000,1.0595102,0,,,
FLP,12.9371835,77.5421868,795.5,6.521351,13.212,290.73297,1727334693513,1.5,45.0,575449947000000,1.104364,0,,,
GPS,12.9371146,77.542389,101.34765113184004,5.5555553,5.8677216,108.0584,1727334697207,,,575453641826344,,1,,,
FLP,12.9371146,77.542389,101.34765113184004,5.5555553,5.8677216,108.0584,1727334697207,,,575453641826344,,1,,,
FLP,12.9371146,77.542389,101.78402305341056,5.5555553,6.4813104,108.47241,1727334697477,,,575453911669782,,1,,,
FLP,12.9371146,77.542389,100.02096479236184,5.5555553,5.981653,109.39355,1727334697742,,,575454176932959,,1,,,
FLP,12.9371146,77.542389,101.89474197379778,5.5555553,5.951245,109.08723,1727334698006,,,575454440767282,,1,,,
GPS,12.9371336,77.5423416,101.22927409936788,5.5555553,5.2668514,294.65237,1727334698140,,,575454574812229,,1,,,
FLP,12.9371336,77.5423416,101.92210767085449,5.5555553,6.059904,293.96402,1727334698273,,,575454708046448,,1,,,
FLP,12.9371336,77.5423416,100.16776378622473,5.5555553,5.618867,292.49445,1727334698540,,,575454974952802,,1,,,
FLP,12.9371336,77.5423416,100.2891701004698,5.5555553,6.1124578,294.9014,1727334698808,,,575455243077073,,1,,,
GPS,12.9371336,77.5423416,100.87211610647476,5.5555553,6.8908663,294.15863,1727334699073,,,575455507254521,,1,,,
FLP,12.9371336,77.5423416,100.87211610647476,5.5555553,6.8908663,294.15863,1727334699073,,,575455507254521,,1,,,
FLP,12.9371527,77.5422939,100.94833943429067,5.5555553,5.9917226,292.96396,1727334699339,,,575455773392177,,1,,,
FLP,12.9371527,77.5422939,100.7333642203902,5.5555553,6.263094,292.9809,1727334699605,,,575456039822333,,1,,,
FLP,12.9371527,77.5422939,101.35153070375776,5.5555553,5.2834926,293.533,1727334699886,,,575456320298375,,1,,,
GPS,12.9371527,77.5422939,101.02643366988544,5.5555553,6.520113,292.8798,1727334700024,,,575456459021500,,1,,,
FLP,12.9371695,77.5422519,100.0575348153094,5.5555553,5.181538,294.25278,1727334700174,,,575456608189572,,1,,,
FLP,12.9371695,77.5422519,100.3700843914576,5.5555553,6.483746,295.0746,1727334700459,,,575456893442437,,1,,,
FLP,12.9371695,77.5422519,100.97264888663037,5.5555553,6.1671343,294.33798,1727334700751,,,575457185399051,,1,,,
GPS,12.9371695,77.5422519,100.29661876805778,5.5555553,6.736123,294.4822,1727334701039,,,575457473321812,,1,,,
FLP,12.9371695,77.5422519,100.29661876805778,5.5555553,6.736123,294.4822,1727334701039,,,575457473321812,,1,,,
FLP,12.9371901,77.5422048,100.69014593464838,5.5555553,6.421631,294.95206,1727334701326,,,575457760552749,,1,,,
FLP,12.9371901,77.5422048,101.01689014480662,5.5555553,6.5240645,295.823,1727334701609,,,575458043715822,,1,,,
FLP,12.9371901,77.5422048,100.66699885565204,5.5555553,6.96963,295.46155,1727334701891,,,575458325847488,,1,,,
GPS,12.9371901,77.5422048,100.83939916455938,5.5555553,6.595763,295.32474,1727334702025,,,575458459495353,,1,,,
FLP,12.9372107,77.5421577,100.2607793512174,5.5555553,6.76823,296.40253,1727334702171,,,575458605979103,,1,,,
FLP,12.9372107,77.5421577,101.96533234114042,5.5555553,5.167307,294.68396,1727334702442,,,575458876878634,,1,,,
FLP,12.9372107,77.5421577,101.22628899750316,5.5555553,6.7739663,295.41806,1727334702716,,,575459150897801,,1,,,
GPS,12.9372107,77.5421577,100.95987511696669,5.5555553,5.1212015,294.17404,1727334702993,,,575459427548113,,1,,,
