Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
NLP,12.9366266,77.5427748,,,400.0,,1727336073718,,,1457320879000000,,0,,,
GPS,12.9358156817,77.5427121576,776.0,0.29999998,18.0,0.0,1727336075000,0.82,180.0,1457322191597967,39.0,0,,,
FLP,12.9358151,77.5427125,804.0999755859375,0.30093542,18.0,359.86636,1727336075030,0.82,180.0,1457322191597967,2.5660365,0,,,
GPS,12.9357551644,77.5427000877,782.0,0.21,16.0,0.0,1727336076000,0.78,180.0,1457323195519928,36.0,0,,,
FLP,12.9357784,77.5427047,804.0999755859375,0.2107906,17.0,359.99026,1727336076034,0.78,180.0,1457323195519928,2.5760758,0,,,
GPS,12.9357819445,77.5426932145,790.0,0.22,17.0,0.0,1727336077000,1.18,180.0,1457324196862235,29.0,0,,,
FLP,12.9357811,77.5426991,804.0999755859375,0.21979065,17.0,359.99515,1727336077035,1.18,180.0,1457324196862235,2.5860891,0,,,
GPS,12.9357810644,77.542658681,787.0,0.29,14.0,0.0,1727336078000,1.08,180.0,1457325199623042,26.0,0,,,
FLP,12.935782,77.5426763,804.0999755859375,0.2885805,16.25,359.96976,1727336078038,1.08,180.0,1457325199623042,2.5961168,0,,,
NLP,12.9357421,77.5427161,804.0999755859375,,23.261,,1727336077901,,,1457325062000000,2.6171954,0,,,
GPS,12.9357584333,77.5426566694,785.0,0.32999998,12.0,0.0,1727336079000,1.15,180.0,1457326196750464,23.0,0,,,
FLP,12.9357686,77.5426644,804.0999755859375,0.32859758,15.4,359.9647,1727336079035,1.15,180.0,1457326196750464,2.628543,0,,,
GPS,12.935757637,77.5426534843,785.0,0.45999998,11.0,0.0,1727336080000,1.16,180.0,1457327196125848,22.0,0,,,
FLP,12.9357628,77.5426576,804.0999755859375,0.45666957,14.0,359.96017,1727336080036,1.16,180.0,1457327196125848,2.6385367,0,,,
GPS,12.9357755743,77.54266195,782.0,0.19999999,9.5,0.0,1727336081000,1.05,180.0,1457328205482540,21.0,0,,,
FLP,12.9357728,77.5426605,804.0999755859375,0.20497479,12.7,0.01379777,1727336081044,1.05,180.0,1457328205482540,2.6486301,0,,,
GPS,12.9357792204,77.5426734332,783.0,0.32999998,9.0,0.0,1727336082000,1.05,180.0,1457329209070001,19.0,0,,,
FLP,12.9357778,77.5426693,804.0999755859375,0.32774058,11.1,0.016220706,1727336082048,1.05,180.0,1457329209070001,2.6586661,0,,,
GPS,12.9357805615,77.5426714215,781.0,0.48,8.0,0.0,1727336083000,0.97,180.0,1457330203949500,18.0,0,,,
FLP,12.9357809,77.5426706,804.0999755859375,0.425744,9.9,0.25700498,1727336083042,0.97,180.0,1457330203949500,2.6686149,0,,,
GPS,12.9357881891,77.5426710024,781.0,0.59999996,8.0,0.0,1727336084000,0.98,180.0,1457331187248191,18.0,0,,,
