Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
GPS,12.93444,77.54326,762.8000000000001,0.0,6.1,0.0,1726566206650,7.9,30.9,128813430000000,79.6,0,,,
FLP,12.93444,77.54326,762.8000000000001,0.0,6.1,,1726566207296,7.9,,128813430000000,79.6,0,,,
GPS,12.9342533333,77.5432416667,762.8000000000001,12.028543,5.7,194.3,1726566209000,4.9,14.5,128815787000000,31.9,0,,,
FLP,12.9342573,77.5432433,762.8000000000001,11.247441,5.9,193.90773,1726566209653,4.9,14.5,128815787000000,31.9,0,,,
GPS,12.9343216667,77.5434166667,762.8000000000001,11.500954,5.5,194.78,1726566210000,4.3,12.8,128816787000000,32.5,0,,,
FLP,12.9342983,77.5433851,762.8000000000001,10.655925,5.766,193.74655,1726566210653,4.3,12.8,128816787000000,32.5,0,,,
GPS,12.934385,77.5434866667,762.9,9.59751,5.3,196.73,1726566211000,4.0,14.1,128817787000000,33.7,0,,,
FLP,12.9343593,77.5434671,762.9,9.172235,5.65,196.0034,1726566211652,4.0,14.1,128817787000000,33.7,0,,,
GPS,12.934385,77.5434866667,762.9,6.8550706,5.0,206.95,1726566212000,3.4,17.6,128818787000000,35.2,0,,,
FLP,12.9343714,77.5434804,762.9,6.928139,5.375,205.04797,1726566212653,3.4,17.6,128818787000000,35.2,0,,,
FLP,12.9343702,77.5434797,762.9,6.834599,6.0,205.19307,1726566212828,1.5,45.0,128818962000000,35.2,0,,,
GPS,12.9345416667,77.5434566667,762.7,5.2450194,4.8,210.23,1726566213000,2.7,18.7,128819787000000,36.5,0,,,
FLP,12.9345099,77.5434569,762.7,4.9808645,5.8,212.03128,1726566213653,2.7,18.7,128819787000000,36.5,0,,,
GPS,12.9346016667,77.5435016667,762.6,3.9546108,4.7,211.47,1726566214000,2.4,22.5,128820787000000,35.2,0,,,
FLP,12.9345828,77.5434914,762.6,3.9422157,5.642,211.29259,1726566214652,2.4,22.5,128820787000000,35.2,0,,,
GPS,12.934625,77.54353,762.6,3.0584795,4.5,213.34,1726566215000,2.2,26.8,128821787000000,36.4,0,,,
FLP,12.9346143,77.5435213,762.6,3.077173,5.471,212.8874,1726566215653,2.2,26.8,128821787000000,36.4,0,,,
GPS,12.93471,77.54359,762.5,0.5970778,4.3,215.7,1726566216000,1.7,102.0,128822787000000,36.9,0,,,
FLP,12.9346923,77.5435773,762.5,0.65583754,5.3,214.35237,1726566216653,1.7,102.0,128822787000000,36.9,0,,,
GPS,12.934705,77.5436016667,762.4,0.18169695,3.9,222.23,1726566217000,1.4,179.9,128823787000000,35.2,0,,,
FLP,12.9347023,77.5435974,762.4,0.18912226,5.1,221.27592,1726566217653,1.4,179.9,128823787000000,35.2,0,,,
GPS,12.9347033333,77.5436116667,762.3000000000001,0.055075277,3.2,191.47,1726566218000,1.2,179.9,128824787000000,30.0,0,,,
FLP,12.934703,77.5436093,762.3000000000001,0.057041097,4.233,,1726566218653,1.2,,128824787000000,30.0,0,,,
GPS,12.9347033333,77.5436183333,762.4,0.072061114,2.8,340.97,1726566219000,1.2,179.9,128825787000000,30.4,0,,,
FLP,12.9347032,77.5436169,762.4,0.069559775,3.9,,1726566219653,1.2,,128825787000000,30.4,0,,,
GPS,12.9347083333,77.54362,762.6,0.25324333,2.5,14.53,1726566220000,1.1,170.7,128826787000000,31.2,0,,,
FLP,12.9347076,77.5436195,762.6,0.24969542,3.533,13.989933,1726566220653,1.1,170.7,128826787000000,31.2,0,,,
GPS,12.9347183333,77.5436233333,762.9,0.77980417,2.3,20.74,1726566221000,1.9,93.5,128827787000000,29.4,0,,,
FLP,12.934717,77.5436228,762.9,0.75280714,3.166,20.228445,1726566221653,1.9,93.5,128827787000000,29.4,0,,,
GPS,12.9347333333,77.5436333333,763.0,1.1534925,2.3,29.06,1726566222000,2.0,69.1,128828787000000,29.6,0,,,
FLP,12.9347318,77.5436321,763.0,1.1357096,2.833,28.857933,1726566222653,2.0,69.1,128828787000000,29.6,0,,,
FLP,12.9347335,77.5436332,763.0,1.1351354,3.263,28.888826,1726566222862,1.5,45.0,128828996000000,29.6,0,,,
GPS,12.9347516667,77.5436383333,763.2,1.4520314,2.3,31.86,1726566223000,2.0,51.3,128829787000000,29.0,0,,,
FLP,12.9347499,77.5436382,763.2,1.4469187,3.125,30.79727,1726566223653,2.0,51.3,128829787000000,29.0,0,,,
GPS,12.9347716667,77.5436466667,763.3000000000001,1.6846858,2.2,30.5,1726566224000,1.9,44.8,128830787000000,26.1,0,,,
FLP,12.9347701,77.5436464,763.3000000000001,1.6758634,2.982,30.036745,1726566224653,1.9,44.8,128830787000000,26.1,0,,,
GPS,12.9347983333,77.543655,763.1,2.2060995,2.2,22.21,1726566225000,1.8,31.2,128831787000000,25.6,0,,,
FLP,12.934796,77.5436549,763.1,2.1828725,2.897,22.2586,1726566225653,1.8,31.2,128831787000000,25.6,0,,,
GPS,12.934825,77.543655,763.3000000000001,1.0170912,2.2,15.85,1726566226000,1.7,31.8,128832787000000,24.9,0,,,
FLP,12.9348233,77.5436561,763.3000000000001,1.0644871,2.854,14.572184,1726566226653,1.7,31.8,128832787000000,24.9,0,,,
GPS,12.934845,77.543655,763.4,1.1823169,2.2,16.42,1726566227000,1.7,37.8,128833787000000,24.3,0,,,
FLP,12.9348431,77.5436556,763.4,1.1797113,2.84,15.994525,1726566227653,1.7,37.8,128833787000000,24.3,0,,,
GPS,12.9348633333,77.5436566667,763.8000000000001,1.3264391,2.2,13.89,1726566228000,1.9,51.3,128834787000000,24.3,0,,,
FLP,12.9348618,77.543657,763.8000000000001,1.3201196,2.216,13.091648,1726566228653,1.9,51.3,128834787000000,24.3,0,,,
