Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
FLP,12.9316728,77.515474,750.2999877929688,4.312992,15.951,24.371624,1730975397798,1.5,45.0,2288948939000000,2.3353155,0,,,
FLP,12.9320447,77.5156407,749.0,6.679366,14.25,23.868431,1730975402615,1.5,45.0,2288953756000000,1.1969849,0,,,
FLP,12.9322342,77.5157989,750.8999633789062,6.5128474,24.824,30.701265,1730975406831,1.5,45.0,2288957972000000,6.6995792,0,,,
FLP,12.9327618,77.5159781,748.5999755859375,6.688857,47.719,23.201288,1730975415816,1.5,45.0,2288966957000000,9.277434,0,,,
FLP,12.9328181,77.5160824,746.3999633789062,6.5449862,48.856,28.164026,1730975417693,1.5,45.0,2288968834000000,61.005665,0,,,
FLP,12.9329135,77.5163156,746.3999633789062,6.0017214,42.663,40.155197,1730975422368,1.5,45.0,2288973509000000,3.8136985,0,,,
FLP,12.9332444,77.516633,745.0,7.166255,39.754,41.63482,1730975428053,1.5,45.0,2288979194000000,4.546618,0,,,
FLP,12.9338273,77.5170406,742.5,8.581743,56.1,37.386913,1730975435833,1.5,45.0,2288986974000000,8.227678,0,,,
FLP,12.9341465,77.5173018,750.8999633789062,8.588169,30.782,37.78069,1730975441108,1.5,45.0,2288992249000000,9.2702055,0,,,
FLP,12.9344035,77.5175194,742.5,8.132518,94.706,38.38306,1730975446121,1.5,45.0,2288997262000000,8.314613,0,,,
FLP,12.9346185,77.5176747,742.0,7.394987,43.468,37.515266,1730975451052,1.5,45.0,2289002193000000,4.3285837,0,,,
FLP,12.9347689,77.5177479,742.0,7.4060764,104.1,35.350033,1730975453486,1.5,45.0,2289004627000000,27.293228,0,,,
FLP,12.935142,77.5179294,742.0,6.77881,28.899,31.435965,1730975461082,1.5,45.0,2289012223000000,1.829764,0,,,
FLP,12.9352478,77.5179595,742.0,5.105446,31.29,28.583971,1730975466075,1.5,45.0,2289017216000000,1.6183116,0,,,
FLP,12.9352926,77.5179483,742.0,3.4118557,36.533,24.010946,1730975471051,1.5,45.0,2289022192000000,3.740578,0,,,
