LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,MockLocation,RelativeLatitude,RelativeLongitude,RelativeAltitude,RelativeBearing
12.9294366,77.5198374,750.3999633789062,1.5180564,24.772,185.93025,1730973589035,0,0.0,0.0,0.0,0.0
12.9294967,77.5198729,750.3999633789062,0.9113996,18.661,32.00758,1730973596428,0,6.009999999889715e-05,3.5499999995636244e-05,0.0,-153.92267
12.9295147,77.5197792,750.0,1.9575365,19.571,282.17395,1730973601446,0,1.8000000000739647e-05,-9.369999999364609e-05,-0.39996337890625,250.16637
12.9295346,77.5197476,750.0,0.8830956,19.359,299.81268,1730973606467,0,1.9899999999850593e-05,-3.1599999999798456e-05,0.0,17.63873000000001
12.9294989,77.5198564,750.3999633789062,2.2651966,23.968,108.39815,1730973611591,0,-3.569999999974982e-05,0.00010879999999247048,0.39996337890625,-191.41453
12.9295016,77.5199319,750.3999633789062,1.8933816,19.392,98.4347,1730973616518,0,2.69999999957804e-06,7.550000000833279e-05,0.0,-9.963449999999995
12.9294563,77.5200158,750.3999633789062,1.9512228,17.458,109.532166,1730973621548,0,-4.5300000000025875e-05,8.389999999280917e-05,0.0,11.097465999999997
12.9293864,77.5202304,750.0999755859375,3.3479154,19.746,108.803635,1730973626564,0,-6.989999999973406e-05,0.00021460000000672608,-0.29998779296875,-0.7285310000000038
12.9293039,77.5204761,747.5999755859375,4.372957,22.727,108.91768,1730973631582,0,-8.249999999954127e-05,0.00024569999999357606,-2.5,0.11404500000000439
12.9292184,77.5209167,750.3999633789062,2.742567,100.0,157.847915,1730973653632,0,-8.550000000084879e-05,0.0004406000000045651,2.79998779296875,48.930234999999996
12.9284559,77.5205219,751.0,1.112177,12.82,206.77815,1730973658743,0,-0.0007625000000004434,-0.0003947999999951435,0.60003662109375,48.93023500000001
12.9282454,77.5203709,752.0999755859375,5.5390925,15.642,214.89296,1730973663731,0,-0.00021049999999966928,-0.00015100000000245473,1.0999755859375,8.114809999999977
12.9277979,77.5204159,752.2000122070312,9.60455,39.112,175.80049,1730973668739,0,-0.00044749999999993406,4.500000000007276e-05,0.10003662109375,-39.09246999999999
12.9275357,77.5201534,753.7000122070312,7.896224,26.806,216.78677,1730973673781,0,-0.0002621999999998792,-0.0002625000000051614,1.5,40.986279999999994
12.927327,77.519947,754.2999877929688,6.563505,30.13,223.17377,1730973678785,0,-0.0002086999999999506,-0.0002063999999961652,0.5999755859375,6.3870000000000005
12.9271127,77.519894,755.5999755859375,4.878791,72.9,197.4708,1730973683917,0,-0.00021429999999966753,-5.300000000829641e-05,1.29998779296875,-25.702969999999993
12.9267272,77.5197406,753.7000122070312,8.186488,58.392,200.61456,1730973688820,0,-0.0003855000000001496,-0.0001533999999878688,-1.89996337890625,3.1437600000000145
12.9267174,77.5196836,754.2999877929688,1.8105471,38.832,228.41177,1730973694358,0,-9.800000000836917e-06,-5.7000000012408236e-05,0.5999755859375,27.79720999999998
