utcTimeMillis,Svid,Cn0DbHz,PseudorangeRateMetersPerSecond,AccumulatedDeltaRangeUncertaintyMeters,AccumulatedDeltaRangeState,CarrierFrequencyHz,SnrInDb,BasebandCn0DbHz,CodeType,State,DriftNanosPerSecond,HardwareClockDiscontinuityCount,Pseudorange,MockLocation_approx
1730961464968,2,24.14900016784668,-1161.4491623267345,0.0225000008940696,16,1575420030,3.808988182050968,24.14900016784668,C,47,-4527.39725318182,0,-4.243160970286659e+17,0
1730961464968,21,23.381000518798828,-1109.9633879812216,0.0049000000581145,16,1575420030,2.644759506995987,23.381000518798828,C,47,-4527.39725318182,0,-4.243160970285576e+17,0
1730961464968,31,22.572999954223636,-887.1211346194183,0.0049000000581145,16,1575420030,1.4226558589593938,22.572999954223636,C,47,-4527.39725318182,0,-4.243160970298345e+17,0
1730961464968,23,29.0,-1069.9364013671875,0.00089999998454,17,1561097980,10.881360887005512,29.0,I,47,-4527.39725318182,0,-4.2431609283266624e+17,0
1730961464968,9,0.0,-1356.5873167220695,0.0020250000525265,16,1600875010,5.087559488865527,24.0,C,17,-4527.39725318182,0,-4.242053288452058e+17,0
1730961465468,2,12.100000381469728,-1158.8736006488548,0.0225000008940696,16,1575420030,0.0,12.100000381469728,C,47,-4518.58177347062,0,-4.243160970286665e+17,0
1730961465468,21,25.520000457763672,-1106.4318979313937,0.0020250000525265,16,1575420030,5.775910784939391,25.520000457763672,C,47,-4518.58177347062,0,-4.243160970285581e+17,0
1730961465468,31,22.584999084472656,-884.813359252576,0.0099999997764825,16,1575420030,1.4652782330861145,22.584999084472656,C,47,-4518.58177347062,0,-4.243160970298349e+17,0
1730961465468,23,29.200000762939453,-1066.5638427734375,0.00089999998454,20,1561097980,11.106331755712723,29.200000762939453,I,47,-4518.58177347062,0,-4.2431609283266675e+17,0
1730961465468,9,0.0,-1354.2627445071444,0.0049000000581145,16,1600875010,2.129106618285736,23.0,C,17,-4518.58177347062,0,-4.242053286953103e+17,0
1730961467001,2,22.8439998626709,-1145.843873238447,0.0049000000581145,16,1575420030,1.8935426315152888,22.8439998626709,C,47,-4473.656284538915,0,-4.243160970286682e+17,0
1730961467001,21,27.54400062561035,-1092.3450557185315,0.00089999998454,16,1575420030,8.477514855328748,27.54400062561035,C,47,-4473.656284538915,0,-4.243160970285598e+17,0
1730961467001,31,26.34600067138672,-871.1443640351114,0.0020250000525265,16,1575420030,6.885493713675994,26.34600067138672,C,47,-4473.656284538915,0,-4.243160970298362e+17,0
1730961467001,23,29.239999771118164,-1053.525634765625,0.0006249999860301,16,1561097980,11.974470512664258,29.239999771118164,I,47,-4473.656284538915,0,-4.243160928326685e+17,0
1730961467001,9,0.0,-1339.5854419933178,0.0099999997764825,16,1600875010,0.0,18.0,C,17,-4473.656284538915,0,-4.242053282357304e+17,0
1730961467001,7,0.0,-1913.193866711074,0.0099999997764825,16,1604812540,1.306646202868603,20.0,C,17,-4473.656284538915,0,-4.242053282355516e+17,0
1730961468001,2,22.94099998474121,-1137.803222228057,0.0049000000581145,16,1575420030,4.764783316090514,22.94099998474121,C,47,-4448.400034639312,0,-4.243160970286694e+17,0
1730961468001,21,24.690000534057617,-1085.3903237286463,0.0049000000581145,16,1575420030,4.5914929870594445,24.690000534057617,C,47,-4448.400034639312,0,-4.243160970285609e+17,0
1730961468001,31,22.24399948120117,-863.592455563256,0.0099999997764825,16,1575420030,0.9484929985627628,22.24399948120117,C,47,-4448.400034639312,0,-4.243160970298371e+17,0
1730961468001,23,29.28300094604492,-1045.888671875,0.0006249999860301,17,1561097980,12.085402922661586,29.28300094604492,I,47,-4448.400034639312,0,-4.2431609283266944e+17,0
1730961468001,9,0.0,-1332.7172464065245,0.0225000008940696,16,1600875010,0.0,17.0,C,17,-4448.400034639312,0,-4.242053279359394e+17,0
1730961468001,7,0.0,-1903.253798958899,0.0020250000525265,16,1604812540,4.032907270561388,24.0,C,17,-4448.400034639312,0,-4.242053279357611e+17,0
1730961468001,4,19.30900001525879,-1657.898130025769,0.0099999997764825,16,1575420030,0.0,19.30900001525879,C,47,-4448.400034639312,0,-4.2431609702817414e+17,0
1730961468001,16,14.399999618530272,-1593.7630297817802,0.0225000008940696,16,1575420030,0.0,14.399999618530272,C,47,-4448.400034639312,0,-4.2431609703160666e+17,0
1730961469001,2,23.020999908447266,-1131.2366038471946,0.0020250000525265,16,1575420030,4.414674878311298,23.020999908447266,C,47,-4429.54401824165,0,-4.243160970286705e+17,0
1730961469001,21,22.50900077819824,-1079.5480849733387,0.0049000000581145,16,1575420030,1.3389357926122645,22.50900077819824,C,47,-4429.54401824165,0,-4.243160970285619e+17,0
1730961469001,31,18.867000579833984,-858.7800140616712,0.0099999997764825,16,1575420030,0.0,18.867000579833984,C,47,-4429.54401824165,0,-4.24316097029838e+17,0
1730961469001,23,29.30299949645996,-1039.8843994140625,0.0006249999860301,20,1561097980,11.625635227353142,29.30299949645996,I,47,-4429.54401824165,0,-4.243160928326705e+17,0
1730961469001,13,19.5,-1061.5184098935206,0.0099999997764825,24,1575420030,0.0,19.5,C,47,-4429.54401824165,0,-4.243160970264742e+17,0
1730961469001,9,0.0,-1326.8899054150615,0.0099999997764825,16,1600875010,0.0,20.0,C,17,-4429.54401824165,0,-4.242053276361482e+17,0
1730961469001,7,0.0,-1898.7204114785543,0.0099999997764825,16,1604812540,2.138910106502597,19.0,C,17,-4429.54401824165,0,-4.2420532763597056e+17,0
1730961469001,4,17.945999145507812,-1652.479034525307,0.0225000008940696,16,1575420030,0.0,17.945999145507812,C,47,-4429.54401824165,0,-4.2431609702817574e+17,0
1730961469001,26,24.006999969482425,-1048.4292157103637,0.0049000000581145,16,1575420030,3.6202499128990246,24.006999969482425,C,47,-4429.54401824165,0,-4.243160970311993e+17,0
1730961469001,16,18.993000030517575,-1587.6847822721231,0.0225000008940696,16,1575420030,0.0,18.993000030517575,C,47,-4429.54401824165,0,-4.2431609703160826e+17,0
1730961470001,2,26.707000732421875,-1131.2811110099242,0.00089999998454,17,1575420030,7.375429378465759,26.707000732421875,C,47,-4428.401177750009,0,-4.243160970286717e+17,0
1730961470001,21,25.18400001525879,-1079.219809804395,0.0020250000525265,16,1575420030,5.305228255011775,25.18400001525879,C,47,-4428.401177750009,0,-4.24316097028563e+17,0
1730961470001,31,18.867000579833984,-858.0002560039935,0.0225000008940696,16,1575420030,0.0,18.867000579833984,C,47,-4428.401177750009,0,-4.2431609702983885e+17,0
1730961470001,23,29.392000198364254,-1039.832275390625,0.0006249999860301,17,1561097980,13.217309560077384,29.392000198364254,I,47,-4428.401177750009,0,-4.243160928326716e+17,0
1730961470001,13,19.5,-1061.1500875698034,0.0099999997764825,24,1575420030,0.0,19.5,C,47,-4428.401177750009,0,-4.2431609702647526e+17,0
1730961470001,9,0.0,-1326.6838010262472,0.0099999997764825,16,1600875010,0.9260003930593844,20.0,C,17,-4428.401177750009,0,-4.2420532733635706e+17,0
1730961470001,7,0.0,-1898.0257177350877,0.0225000008940696,16,1604812540,0.0,17.0,C,17,-4428.401177750009,0,-4.242053273361799e+17,0
1730961470001,4,15.82800006866455,-1652.272015822673,0.0225000008940696,16,1575420030,0.0,15.82800006866455,C,47,-4428.401177750009,0,-4.243160970281775e+17,0
1730961470001,26,25.41900062561035,-1048.0602429688197,0.0020250000525265,17,1575420030,5.621833314435873,25.41900062561035,C,47,-4428.401177750009,0,-4.2431609703120026e+17,0
1730961470001,3,16.1560001373291,-1794.5860380301017,0.0225000008940696,16,1575420030,0.0,16.1560001373291,C,47,-4428.401177750009,0,-4.2431609703063264e+17,0
1730961470001,16,18.993000030517575,-1586.7645339638248,0.0225000008940696,16,1575420030,0.0,18.993000030517575,C,47,-4428.401177750009,0,-4.2431609703160986e+17,0
1730961471001,2,27.895999908447266,-1130.0253400197537,0.00089999998454,21,1575420030,8.913946477298621,27.895999908447266,C,47,-4425.069819373462,0,-4.243160970286728e+17,0
1730961471001,21,26.11199951171875,-1079.0834078944008,0.0020250000525265,17,1575420030,6.577693764264941,26.11199951171875,C,47,-4425.069819373462,0,-4.243160970285641e+17,0
1730961471001,31,18.867000579833984,-856.2406899484356,0.0225000008940696,16,1575420030,0.0,18.867000579833984,C,47,-4425.069819373462,0,-4.243160970298397e+17,0
1730961471001,23,26.5,-1038.8935546875,0.00089999998454,21,1561097980,7.958800173440752,26.5,I,47,-4425.069819373462,0,-4.2431609283267264e+17,0
1730961471001,13,22.100000381469727,-1060.4018283183163,0.0049000000581145,24,1575420030,2.244535421843244,22.100000381469727,C,47,-4425.069819373462,0,-4.243160970264763e+17,0
1730961471001,9,0.0,-1325.042189627673,0.0099999997764825,16,1600875010,0.0,20.0,C,17,-4425.069819373462,0,-4.24205327036566e+17,0
1730961471001,7,0.0,-1897.551946818128,0.0225000008940696,16,1604812540,0.0,17.0,C,17,-4425.069819373462,0,-4.242053270363894e+17,0
1730961471001,4,15.82800006866455,-1651.3153441160655,0.0225000008940696,16,1575420030,0.0,15.82800006866455,C,47,-4425.069819373462,0,-4.243160970281791e+17,0
1730961471001,26,25.1299991607666,-1046.4026066784274,0.0020250000525265,20,1575420030,5.22424035229762,25.1299991607666,C,47,-4425.069819373462,0,-4.2431609703120134e+17,0
1730961471001,16,17.0310001373291,-1586.0362518313084,0.0225000008940696,16,1575420030,0.0,17.0310001373291,C,47,-4425.069819373462,0,-4.243160970316114e+17,0
1730961472001,2,25.34000015258789,-1128.9462968448474,0.0020250000525265,17,1575420030,5.489419342890265,25.34000015258789,C,47,-4423.393575558944,0,-4.243160970286739e+17,0
1730961472001,21,25.18400001525879,-1078.474152224216,0.0099999997764825,21,1575420030,5.305228255011775,25.18400001525879,C,47,-4423.393575558944,0,-4.243160970285652e+17,0
1730961472001,31,18.788000106811523,-856.2479374613645,0.0099999997764825,16,1575420030,0.0,18.788000106811523,C,47,-4423.393575558944,0,-4.243160970298406e+17,0
1730961472001,23,26.520000457763672,-1037.9290771484375,0.0020250000525265,17,1561097980,8.42751679159897,26.520000457763672,I,47,-4423.393575558944,0,-4.2431609283267366e+17,0
1730961472001,13,21.0,-1060.4761617842532,0.0049000000581145,24,1575420030,0.7065592468348596,21.0,C,47,-4423.393575558944,0,-4.243160970264774e+17,0
1730961472001,9,0.0,-1324.71812842361,0.0099999997764825,16,1600875010,0.0,19.0,C,17,-4423.393575558944,0,-4.2420532673677485e+17,0
1730961472001,7,0.0,-1897.3255510892295,0.0225000008940696,16,1604812540,0.0,17.0,C,17,-4423.393575558944,0,-4.2420532673659885e+17,0
1730961472001,4,15.82800006866455,-1649.1810444753537,0.0225000008940696,16,1575420030,0.0,15.82800006866455,C,47,-4423.393575558944,0,-4.2431609702818074e+17,0
1730961472001,26,23.726999282836918,-1046.235913881064,0.0099999997764825,16,1575420030,3.2196768158587865,23.726999282836918,C,47,-4423.393575558944,0,-4.243160970312024e+17,0
1730961472001,37,25.600000381469727,-1577.4266357421875,0.0020250000525265,16,1561097980,6.769129872092097,25.600000381469727,I,47,-4423.393575558944,0,-4.243160928322496e+17,0
1730961472001,3,22.19499969482422,-1791.9219266109244,0.0099999997764825,16,1575420030,0.8412269000142272,22.19499969482422,C,47,-4423.393575558944,0,-4.243160970306363e+17,0
1730961472001,16,17.0310001373291,-1586.245128870591,0.0099999997764825,16,1575420030,0.0,17.0310001373291,C,47,-4423.393575558944,0,-4.24316097031613e+17,0
1730961473001,2,23.231000900268555,-1128.731937712452,0.0049000000581145,20,1575420030,2.4896461032247905,23.231000900268555,C,47,-4420.191010673525,0,-4.243160970286751e+17,0
1730961473001,21,18.01099967956543,-1077.4065378196976,0.0225000008940696,20,1575420030,0.0,18.01099967956543,C,47,-4420.191010673525,0,-4.243160970285663e+17,0
1730961473001,31,18.84600067138672,-853.2586171287136,0.0225000008940696,16,1575420030,0.0,18.84600067138672,C,47,-4420.191010673525,0,-4.243160970298414e+17,0
1730961473001,23,26.554000854492188,-1035.575439453125,0.00089999998454,21,1561097980,8.716004588103226,26.554000854492188,I,47,-4420.191010673525,0,-4.243160928326747e+17,0
1730961473001,13,28.700000762939453,-1059.2320983149675,0.00089999998454,25,1575420030,10.497627286792008,28.700000762939453,C,47,-4420.191010673525,0,-4.243160970264784e+17,0
1730961473001,9,0.0,-1323.5239299684558,0.0099999997764825,16,1600875010,2.444317565456533,20.0,C,17,-4420.191010673525,0,-4.242053264369837e+17,0
1730961473001,7,0.0,-1894.292103724112,0.0225000008940696,16,1604812540,0.0,16.0,C,17,-4420.191010673525,0,-4.242053264368083e+17,0
1730961473001,4,15.781000137329102,-1650.3361865360123,0.0225000008940696,16,1575420030,0.0,15.781000137329102,C,47,-4420.191010673525,0,-4.2431609702818234e+17,0
1730961473001,26,26.04800033569336,-1044.3231279688437,0.0020250000525265,16,1575420030,6.499820559988309,26.04800033569336,C,47,-4420.191010673525,0,-4.243160970312034e+17,0
1730961473001,37,27.600000381469727,-1578.806396484375,0.00089999998454,16,1561097980,9.265734636019811,27.600000381469727,I,47,-4420.191010673525,0,-4.243160928322512e+17,0
1730961473001,3,23.02400016784668,-1791.0750826002388,0.0049000000581145,16,1575420030,2.1544576458054783,23.02400016784668,C,47,-4420.191010673525,0,-4.24316097030638e+17,0
1730961473001,16,22.63599967956543,-1583.9144030461407,0.0099999997764825,16,1575420030,1.5653580590399647,22.63599967956543,C,47,-4420.191010673525,0,-4.2431609703161466e+17,0
1730961474001,2,23.71999931335449,-1124.3530461509438,0.0049000000581145,16,1575420030,3.1743432597251706,23.71999931335449,C,47,-4409.231573253781,0,-4.243160970286762e+17,0
1730961474001,21,18.01099967956543,-1074.3376806784945,0.0225000008940696,16,1575420030,0.0,18.01099967956543,C,47,-4409.231573253781,0,-4.243160970285673e+17,0
1730961474001,31,18.881999969482425,-849.0094374652653,0.0225000008940696,16,1575420030,0.0,18.881999969482425,C,47,-4409.231573253781,0,-4.2431609702984224e+17,0
1730961474001,23,29.799999237060547,-1032.6241455078125,0.0006249999860301,21,1561097980,11.723721764518814,29.799999237060547,I,47,-4409.231573253781,0,-4.243160928326758e+17,0
1730961474001,13,30.799999237060547,-1056.4984851051397,0.0006249999860301,29,1575420030,12.850786667811215,30.799999237060547,C,47,-4409.231573253781,0,-4.243160970264795e+17,0
1730961474001,2,26.399999618530277,-1078.9103038356004,0.00089999998454,25,1575420030,7.841222883822051,26.399999618530277,C,47,-4409.231573253781,0,-4.2431609702702586e+17,0
1730961474001,9,0.0,-1321.9198087204647,0.0099999997764825,16,1600875010,0.0,19.0,C,17,-4409.231573253781,0,-4.242053261371925e+17,0
1730961474001,7,0.0,-1890.7308861384456,0.0225000008940696,16,1604812540,0.0,13.0,C,17,-4409.231573253781,0,-4.2420532613701766e+17,0
1730961474001,4,15.736000061035156,-1643.8097082267557,0.0225000008940696,16,1575420030,0.0,15.736000061035156,C,47,-4409.231573253781,0,-4.2431609702818406e+17,0
1730961474001,26,30.08099937438965,-1041.2812167090424,0.0006249999860301,17,1575420030,11.639738523309113,30.08099937438965,C,47,-4409.231573253781,0,-4.243160970312045e+17,0
1730961474001,37,27.600000381469727,-1572.3499755859375,0.0020250000525265,16,1561097980,9.265734636019811,27.600000381469727,I,47,-4409.231573253781,0,-4.2431609283225274e+17,0
1730961474001,3,21.00300025939941,-1787.0114578511354,0.0099999997764825,16,1575420030,0.0,21.00300025939941,C,47,-4409.231573253781,0,-4.243160970306399e+17,0
1730961474001,16,19.631000518798828,-1581.5868363939928,0.0099999997764825,16,1575420030,0.0,19.631000518798828,C,47,-4409.231573253781,0,-4.243160970316162e+17,0
1730961475001,2,25.858999252319336,-1123.2252216390168,0.0020250000525265,16,1575420030,6.219040083162447,25.858999252319336,C,47,-4403.4166440783065,0,-4.243160970286773e+17,0
1730961475001,21,18.01099967956543,-1070.0536572028882,0.0099999997764825,16,1575420030,0.0,18.01099967956543,C,47,-4403.4166440783065,0,-4.243160970285684e+17,0
1730961475001,31,18.95400047302246,-849.2973867289382,0.0099999997764825,16,1575420030,0.0,18.95400047302246,C,47,-4403.4166440783065,0,-4.243160970298431e+17,0
1730961475001,23,29.700000762939453,-1030.428955078125,0.0006249999860301,17,1561097980,11.65656248943402,29.700000762939453,I,47,-4403.4166440783065,0,-4.2431609283267674e+17,0
1730961475001,13,28.200000762939453,-1053.2419359624455,0.00089999998454,29,1575420030,9.95809721285909,28.200000762939453,C,47,-4403.4166440783065,0,-4.243160970264806e+17,0
1730961475001,2,20.0,-1076.913892774201,0.0099999997764825,25,1575420030,0.0,20.0,C,47,-4403.4166440783065,0,-4.2431609702702694e+17,0
1730961475001,9,0.0,-1318.3394079004029,0.0049000000581145,16,1600875010,1.850904152112127,21.0,C,17,-4403.4166440783065,0,-4.2420532583740134e+17,0
1730961475001,7,0.0,-1892.113158852272,0.0225000008940696,16,1604812540,0.0,13.0,C,17,-4403.4166440783065,0,-4.2420532583722714e+17,0
1730961475001,4,15.694000244140623,-1640.654066764071,0.0225000008940696,16,1575420030,0.0,15.694000244140623,C,47,-4403.4166440783065,0,-4.2431609702818566e+17,0
1730961475001,26,23.429000854492188,-1039.5021381186762,0.0020250000525265,20,1575420030,2.7594159120754824,23.429000854492188,C,47,-4403.4166440783065,0,-4.243160970312055e+17,0
1730961475001,37,30.899999618530277,-1566.570556640625,0.0006249999860301,16,1561097980,13.02594419517159,30.899999618530277,I,47,-4403.4166440783065,0,-4.243160928322543e+17,0
1730961475001,3,21.98600006103516,-1784.673856181086,0.0049000000581145,16,1575420030,0.5308712823861192,21.98600006103516,C,47,-4403.4166440783065,0,-4.243160970306416e+17,0
1730961475001,16,19.70800018310547,-1579.1587337291653,0.0049000000581145,16,1575420030,0.0,19.70800018310547,C,47,-4403.4166440783065,0,-4.243160970316178e+17,0
1730961476001,2,29.16399955749512,-1120.602644043932,0.00089999998454,17,1575420030,10.519396445149589,29.16399955749512,C,47,-4395.962642216967,0,-4.2431609702867846e+17,0
1730961476001,21,26.07200050354004,-1068.7031110436478,0.0020250000525265,16,1575420030,6.534288421242989,26.07200050354004,C,47,-4395.962642216967,0,-4.243160970285695e+17,0
1730961476001,31,19.03499984741211,-847.764166077158,0.0099999997764825,16,1575420030,0.0,19.03499984741211,C,47,-4395.962642216967,0,-4.243160970298439e+17,0
1730961476001,23,29.649999618530277,-1028.6402587890625,0.0006249999860301,21,1561097980,11.497808128977132,29.649999618530277,I,47,-4395.962642216967,0,-4.243160928326778e+17,0
1730961476001,13,22.899999618530277,-1051.143502219048,0.0020250000525265,28,1575420030,3.3249693980533586,22.899999618530277,C,47,-4395.962642216967,0,-4.2431609702648154e+17,0
1730961476001,9,0.0,-1317.2917867900892,0.0099999997764825,16,1600875010,1.3078592312398314,19.0,C,17,-4395.962642216967,0,-4.242053255376103e+17,0
1730961476001,7,0.0,-1889.2013923503089,0.0225000008940696,16,1604812540,0.0,17.0,C,17,-4395.962642216967,0,-4.242053255374366e+17,0
1730961476001,4,14.699999809265137,-1639.8566545082335,0.0225000008940696,16,1575420030,0.0,14.699999809265137,C,47,-4395.962642216967,0,-4.243160970281873e+17,0
1730961476001,26,25.51300048828125,-1036.3418508143704,0.0049000000581145,17,1575420030,5.742479366662724,25.51300048828125,C,47,-4395.962642216967,0,-4.243160970312066e+17,0
1730961476001,37,27.700000762939453,-1563.3355712890625,0.0020250000525265,16,1561097980,9.354066478352776,27.700000762939453,I,47,-4395.962642216967,0,-4.243160928322558e+17,0
1730961476001,3,21.746000289916992,-1782.7551235915907,0.0099999997764825,16,1575420030,0.180586330836004,21.746000289916992,C,47,-4395.962642216967,0,-4.243160970306434e+17,0
1730961476001,16,19.71199989318848,-1578.1680544618916,0.0099999997764825,16,1575420030,0.0,19.71199989318848,C,47,-4395.962642216967,0,-4.243160970316193e+17,0
1730961477001,2,24.554000854492188,-1116.8219510495508,0.0020250000525265,20,1575420030,4.400402771398967,24.554000854492188,C,47,-4384.4897024899465,0,-4.243160970286795e+17,0
1730961477001,21,28.507999420166016,-1065.7339536636323,0.00089999998454,16,1575420030,9.699149076050515,28.507999420166016,C,47,-4384.4897024899465,0,-4.2431609702857056e+17,0
1730961477001,31,22.106000900268555,-843.7818435564232,0.0049000000581145,16,1575420030,0.7344561404947968,22.106000900268555,C,47,-4384.4897024899465,0,-4.2431609702984486e+17,0
1730961477001,23,29.600000381469727,-1025.564208984375,0.0006249999860301,17,1561097980,11.434176636173753,29.600000381469727,I,47,-4384.4897024899465,0,-4.2431609283267885e+17,0
1730961477001,13,19.200000762939453,-1047.6646030963705,0.0099999997764825,24,1575420030,0.0,19.200000762939453,C,47,-4384.4897024899465,0,-4.243160970264826e+17,0
1730961477001,9,0.0,-1312.530994863015,0.0099999997764825,16,1600875010,0.0,20.0,C,17,-4384.4897024899465,0,-4.2420532523781914e+17,0
1730961477001,7,0.0,-1886.0117848369744,0.0225000008940696,16,1604812540,0.0,13.0,C,17,-4384.4897024899465,0,-4.24205325237646e+17,0
1730961477001,5,21.979999542236328,-1112.7994447946696,0.0225000008940696,16,1602562560,0.0,21.979999542236328,C,17,-4384.4897024899465,0,-4.2420532523759405e+17,0
