utcTimeMillis,Svid,Cn0DbHz,PseudorangeRateMetersPerSecond,AccumulatedDeltaRangeUncertaintyMeters,AccumulatedDeltaRangeState,CarrierFrequencyHz,SnrInDb,BasebandCn0DbHz,CodeType,State,DriftNanosPerSecond,HardwareClockDiscontinuityCount,Pseudorange,MockLocation_approx
1730962682731,3,33.185001373291016,-1516.9410652390177,0.0003999999898951,17,1575420030,15.3014945950685,33.185001373291016,C,47,-3873.1090791568654,0,-4.243168259844239e+17,0
1730962682731,32,14.399999618530272,-927.9737854131606,0.0225000008940696,16,1575420030,0.0,14.399999618530272,C,47,-3873.1090791568654,0,-4.24316825980669e+17,0
1730962682731,26,26.31399917602539,-751.9789445808266,0.0020250000525265,17,1575420030,6.8283551355025285,26.31399917602539,C,47,-3873.1090791568654,0,-4.243168259840694e+17,0
1730962682731,196,20.0,-1355.0471435196578,0.0099999997764825,16,1575420030,0.0,20.0,C,17,-3873.1090791568654,0,-4.2420569272205126e+17,0
1730962682731,9,0.0,-981.141563633544,0.0049000000581145,16,1600875010,3.7336866510621074,23.0,C,17,-3873.1090791568654,0,-4.242056927222276e+17,0
1730962682731,5,23.200000762939453,-842.8971913350481,0.0225000008940696,16,1602562560,0.0,23.200000762939453,C,17,-3873.1090791568654,0,-4.2420569272210016e+17,0
1730962682731,31,27.246000289916992,-695.1538902939012,0.0020250000525265,16,1575420030,8.075783620366085,27.246000289916992,C,47,-3873.1090791568654,0,-4.2431682598255795e+17,0
1730962683731,3,29.11000061035156,-1515.4413875637415,0.00089999998454,21,1575420030,10.450210861386026,29.11000061035156,C,47,-3868.626963964831,0,-4.243168259844254e+17,0
1730962683731,32,17.506000518798828,-925.7441531023844,0.0225000008940696,16,1575420030,0.0,17.506000518798828,C,47,-3868.626963964831,0,-4.2431682598066995e+17,0
1730962683731,26,26.007999420166016,-749.7367220392574,0.0049000000581145,17,1575420030,6.416298919070807,26.007999420166016,C,47,-3868.626963964831,0,-4.2431682598407014e+17,0
1730962683731,196,23.0,-1353.3606100943828,0.0049000000581145,16,1575420030,3.8113816484860825,23.0,C,17,-3868.626963964831,0,-4.242056924222602e+17,0
