utcTimeMillis,Svid,Cn0DbHz,PseudorangeRateMetersPerSecond,AccumulatedDeltaRangeUncertaintyMeters,AccumulatedDeltaRangeState,CarrierFrequencyHz,SnrInDb,BasebandCn0DbHz,CodeType,State,DriftNanosPerSecond,HardwareClockDiscontinuityCount,Pseudorange,MockLocation_approx
1730974187135,4,36.5,113.94784545898438,0.0,16,1575420030,0.0,31.5,C,16399,0.9765624737812494,54,-4.2376931812629e+17,0
1730974187135,8,37.0,138.63845825195312,0.0,16,1575420030,0.0,32.0,C,16399,0.9765624737812494,54,-4.2376931812577683e+17,0
1730974187135,21,33.0,-502.4291687011719,0.0,16,1604249980,0.0,29.0,C,49359,0.9765624737812494,54,-4.236689422123197e+17,0
1730974187135,7,40.7,553.1957397460938,0.0,16,1604812540,0.0,36.7,C,49359,0.9765624737812494,54,-4.2366894221511405e+17,0
1730974187135,32,42.9,514.62744140625,0.0,16,1561097980,0.0,38.6,I,16399,0.9765624737812494,54,-4.237693139258745e+17,0
1730974187135,4,42.7,114.15022277832033,0.0,16,1176450050,0.0,37.7,Q,81935,0.9765624737812494,54,-4.2376931812629e+17,0
1730974187135,8,34.5,138.79209899902344,0.0,16,1176450050,0.0,29.5,Q,81935,0.9765624737812494,54,-4.2376931812577683e+17,0
1730974188415,3,30.0,527.094482421875,0.0,16,1575420030,0.0,25.0,C,16399,-2.131708574324405,54,-4.2376931812295123e+17,0
1730974188415,4,38.5,114.37947845458984,0.0,16,1575420030,0.0,33.5,C,16399,-2.131708574324405,54,-4.237693181262893e+17,0
1730974188415,7,34.0,-235.1934814453125,0.0,16,1575420030,0.0,29.0,C,16399,-2.131708574324405,54,-4.237693181233422e+17,0
1730974188415,8,37.5,138.82765197753906,0.0,16,1575420030,0.0,32.5,C,16399,-2.131708574324405,54,-4.237693181257761e+17,0
1730974188415,9,35.3,-242.0915679931641,0.0,16,1575420030,0.0,30.3,C,16399,-2.131708574324405,54,-4.237693181262289e+17,0
1730974188415,14,28.8,-341.6532592773437,0.0,16,1575420030,0.0,23.8,C,16399,-2.131708574324405,54,-4.237693181231287e+17,0
1730974188415,27,26.9,465.1062927246094,0.0,16,1575420030,0.0,21.9,C,16399,-2.131708574324405,54,-4.2376931812366144e+17,0
1730974188415,196,27.0,75.77494049072266,0.0,16,1575420030,0.0,22.0,C,16399,-2.131708574324405,54,-4.237693181094029e+17,0
