utcTimeMillis,Svid,Cn0DbHz,PseudorangeRateMetersPerSecond,AccumulatedDeltaRangeUncertaintyMeters,AccumulatedDeltaRangeState,CarrierFrequencyHz,SnrInDb,BasebandCn0DbHz,CodeType,State,DriftNanosPerSecond,HardwareClockDiscontinuityCount,Pseudorange,MockLocation_approx
1730969154000,7,13.899999618530272,-1036.7478973720506,0.0,16,1575420030,0.0,13.899999618530272,C,16431,-3122.593534178892,0,-4.243204148784358e+17,
1730969154000,16,20.538000106811523,-335.31083149458755,0.0,16,1575420030,1.5041895693555656,20.538000106811523,C,16431,-3122.593534178892,0,-4.243204148802901e+17,
1730969154000,8,22.375999450683597,-1325.89430151388,0.0,16,1575420030,1.1278466763578752,22.375999450683597,C,16431,-3122.593534178892,0,-4.243204148809179e+17,
1730969154000,9,18.399999618530277,-976.715087890625,0.0,16,1561097980,0.0,18.399999618530277,I,17,-3122.593534178892,0,-4.24207341581415e+17,
1730969154000,13,25.209999084472656,-629.704345703125,0.0,16,1561097980,4.190300290852619,25.209999084472656,I,17,-3122.593534178892,0,-4.242073415815468e+17,
1730969154000,10,15.600000381469728,-1083.71875,0.0,16,1561097980,0.0,15.600000381469728,I,17,-3122.593534178892,0,-4.24207341581432e+17,
1730969154000,32,22.83699989318848,-827.8958129882812,0.0,16,1561097980,1.3637172349232325,22.83699989318848,I,16905,-3122.593534178892,0,-4.243204106834789e+17,
1730969154000,7,11.406000137329102,-1227.3860128682004,0.0,16,1575420030,0.0,11.406000137329102,C,16431,-3122.593534178892,0,-4.243204148780963e+17,
1730969154000,11,19.0,-1151.9080311180385,0.0,16,1602000000,0.0,19.0,C,32995,-3122.593534178892,0,-4.2422003896959014e+17,
1730969154000,7,19.0,-1147.868578074789,0.0,16,1604812540,0.0,19.0,C,32995,-3122.593534178892,0,-4.2422003897194464e+17,
1730969154000,9,13.0,-363.61546175390623,0.0,16,1600875010,0.0,13.0,C,32995,-3122.593534178892,0,-4.242200389689199e+17,
1730969154000,3,17.525999069213867,-564.0276586693808,0.0,16,1575420030,0.0,17.525999069213867,C,16431,-3122.593534178892,0,-4.243204148813589e+17,
1730969154000,4,18.645000457763672,-1276.4625466658674,0.0,16,1575420030,0.0,18.645000457763672,C,16431,-3122.593534178892,0,-4.243204148814923e+17,
1730969155000,7,13.899999618530272,-1026.8440780379528,0.0,16,1575420030,0.0,13.899999618530272,C,16431,-3129.9202039356715,0,-4.243204148784368e+17,
1730969155000,27,22.92099952697754,-1036.193462632994,0.0,16,1575420030,1.981884625358354,22.92099952697754,C,16431,-3129.9202039356715,0,-4.243204148805151e+17,
1730969155000,16,20.450000762939453,-338.7554907645179,0.0,16,1575420030,0.0,20.450000762939453,C,16431,-3129.9202039356715,0,-4.2432041488029037e+17,
1730969155000,8,20.95800018310547,-1329.6347615198229,0.0,16,1575420030,0.0,20.95800018310547,C,16431,-3129.9202039356715,0,-4.2432041488091923e+17,
1730969155000,8,15.699999809265137,-860.18538115204,0.0,16,1575420030,0.0,15.699999809265137,C,16431,-3129.9202039356715,0,-4.2432041487763354e+17,
1730969155000,9,18.434999465942383,-980.3536987304688,0.0,16,1561097980,0.0,18.434999465942383,I,17,-3129.9202039356715,0,-4.242073412816235e+17,
1730969155000,13,21.5,-632.8268432617188,0.0,16,1561097980,1.4376401461225072,21.5,I,17,-3129.9202039356715,0,-4.2420734128175494e+17,
1730969155000,10,15.600000381469728,-1087.1060791015625,0.0,16,1561097980,0.0,15.600000381469728,I,17,-3129.9202039356715,0,-4.2420734128164064e+17,
1730969155000,32,19.5,-829.1766357421875,0.0,16,1561097980,0.0,19.5,I,16905,-3129.9202039356715,0,-4.243204106834798e+17,
1730969155000,7,16.899999618530273,-1230.9415683776251,0.0,16,1575420030,0.0,16.899999618530273,C,16431,-3129.9202039356715,0,-4.2432041487809766e+17,
1730969155000,11,16.0,-1152.4310626404006,0.0,16,1602000000,0.0,16.0,C,32995,-3129.9202039356715,0,-4.242200389695913e+17,
1730969155000,7,18.0,-1152.8101528584446,0.0,16,1604812540,0.0,18.0,C,32995,-3129.9202039356715,0,-4.242200389719458e+17,
1730969155000,9,14.0,-365.7472340115043,0.0,16,1600875010,0.0,14.0,C,32995,-3129.9202039356715,0,-4.2422003896892026e+17,
1730969155000,3,17.441999435424805,-570.7518175396131,0.0,16,1575420030,0.0,17.441999435424805,C,16431,-3129.9202039356715,0,-4.2432041488135955e+17,
1730969155000,4,18.757999420166016,-1278.7736670386769,0.0,16,1575420030,0.0,18.757999420166016,C,16431,-3129.9202039356715,0,-4.2432041488149357e+17,
1730969156000,27,22.851999282836918,-1037.5638929943725,0.0,16,1575420030,1.864901178433021,22.851999282836918,C,16431,-3135.188333863643,0,-4.2432041488051616e+17,
1730969156000,16,20.36599922180176,-342.5636406828795,0.0,16,1575420030,0.0,20.36599922180176,C,16431,-3135.188333863643,0,-4.2432041488029075e+17,
1730969156000,8,23.298999786376957,-1330.3847861911258,0.0,16,1575420030,2.5442745200133827,23.298999786376957,C,16431,-3135.188333863643,0,-4.243204148809206e+17,
1730969156000,8,15.699999809265137,-861.8080807134417,0.0,16,1575420030,0.0,15.699999809265137,C,16431,-3135.188333863643,0,-4.243204148776344e+17,
1730969156000,9,18.52300071716309,-981.8548583984376,0.0,16,1561097980,0.0,18.52300071716309,I,17,-3135.188333863643,0,-4.2420734098183194e+17,
1730969156000,13,21.3799991607666,-633.7594604492188,0.0,16,1561097980,0.0,21.3799991607666,I,17,-3135.188333863643,0,-4.2420734098196314e+17,
1730969156000,10,12.600000381469728,-1087.90673828125,0.0,16,1561097980,0.0,12.600000381469728,I,17,-3135.188333863643,0,-4.242073409818493e+17,
1730969156000,32,19.424999237060547,-830.4370727539062,0.0,16,1561097980,0.0,19.424999237060547,I,16905,-3135.188333863643,0,-4.2432041068348064e+17,
1730969156000,7,16.899999618530273,-1231.9853960730436,0.0,16,1575420030,0.0,16.899999618530273,C,16431,-3135.188333863643,0,-4.243204148780989e+17,
1730969156000,11,16.0,-1155.5585608786764,0.0,16,1602000000,0.0,16.0,C,32995,-3135.188333863643,0,-4.2422003896959245e+17,
1730969156000,7,18.0,-1151.9130529415595,0.0,16,1604812540,0.0,18.0,C,32995,-3135.188333863643,0,-4.2422003897194694e+17,
1730969156000,4,18.864999771118164,-1280.848871573969,0.0,16,1575420030,0.0,18.864999771118164,C,16431,-3135.188333863643,0,-4.2432041488149485e+17,
1730969157000,27,22.52300071716309,-1038.3519206501355,0.0,16,1575420030,1.3805449243417125,22.52300071716309,C,16431,-3139.218244415993,0,-4.2432041488051725e+17,
1730969157000,16,20.285999298095703,-341.4685693543809,0.0,16,1575420030,0.0,20.285999298095703,C,16431,-3139.218244415993,0,-4.243204148802911e+17,
1730969157000,8,23.231000900268555,-1332.4335094291782,0.0,16,1575420030,0.4619352884905239,23.231000900268555,C,16431,-3139.218244415993,0,-4.243204148809219e+17,
1730969157000,8,15.699999809265137,-863.4512219779759,0.0,16,1575420030,0.0,15.699999809265137,C,16431,-3139.218244415993,0,-4.2432041487763526e+17,
1730969157000,9,18.55599975585937,-983.3773803710938,0.0,16,1561097980,0.0,18.55599975585937,I,17,-3139.218244415993,0,-4.242073406820405e+17,
1730969157000,13,21.270999908447266,-634.39111328125,0.0,16,1561097980,0.0,21.270999908447266,I,17,-3139.218244415993,0,-4.242073406821713e+17,
1730969157000,10,12.600000381469728,-1088.677978515625,0.0,16,1561097980,0.0,12.600000381469728,I,17,-3139.218244415993,0,-4.242073406820579e+17,
1730969157000,32,15.199999809265137,-832.3169555664062,0.0,16,1561097980,0.0,15.199999809265137,I,16905,-3139.218244415993,0,-4.243204106834815e+17,
1730969157000,27,13.199999809265137,-1227.498779296875,0.0,16,1561097980,0.0,13.199999809265137,I,17,-3139.218244415993,0,-4.242073406820559e+17,
1730969157000,7,16.940000534057617,-1234.0836439827765,0.0,16,1575420030,0.0,16.940000534057617,C,16431,-3139.218244415993,0,-4.243204148781001e+17,
1730969157000,11,14.0,-1154.4884661619776,0.0,16,1602000000,0.0,14.0,C,32995,-3139.218244415993,0,-4.242200389695936e+17,
1730969157000,7,18.0,-1154.161321243683,0.0,16,1604812540,0.0,18.0,C,32995,-3139.218244415993,0,-4.242200389719481e+17,
1730969157000,4,18.9379997253418,-1280.9310100538294,0.0,16,1575420030,0.0,18.9379997253418,C,16431,-3139.218244415993,0,-4.243204148814961e+17,
1730969158000,27,23.461000442504883,-1039.5812103430665,0.0,16,1575420030,2.812378817869247,23.461000442504883,C,16431,-3139.654776645757,0,-4.243204148805183e+17,
1730969158000,16,14.199999809265137,-340.80021857877614,0.0,16,1575420030,0.0,14.199999809265137,C,16431,-3139.654776645757,0,-4.2432041488029146e+17,
1730969158000,8,23.198999404907227,-1331.2420368870428,0.0,16,1575420030,1.5041895693555656,23.198999404907227,C,16431,-3139.654776645757,0,-4.2432041488092326e+17,
1730969158000,8,15.699999809265137,-863.8006821847116,0.0,16,1575420030,0.0,15.699999809265137,C,16431,-3139.654776645757,0,-4.2432041487763616e+17,
1730969158000,9,18.558000564575195,-980.9511108398438,0.0,16,1561097980,0.0,18.558000564575195,I,17,-3139.654776645757,0,-4.24207340382249e+17,
1730969158000,13,21.152000427246094,-634.2012939453125,0.0,16,1561097980,0.0,21.152000427246094,I,17,-3139.654776645757,0,-4.242073403823795e+17,
1730969158000,10,12.609999656677246,-1091.41455078125,0.0,16,1561097980,0.0,12.609999656677246,I,17,-3139.654776645757,0,-4.2420734038226656e+17,
1730969158000,32,15.1850004196167,-833.0782470703125,0.0,16,1561097980,0.0,15.1850004196167,I,16905,-3139.654776645757,0,-4.243204106834823e+17,
1730969158000,27,13.199999809265137,-1227.314208984375,0.0,16,1561097980,0.0,13.199999809265137,I,17,-3139.654776645757,0,-4.2420734038226464e+17,
1730969158000,7,16.947999954223633,-1231.3758616523614,0.0,16,1575420030,0.0,16.947999954223633,C,16431,-3139.654776645757,0,-4.243204148781013e+17,
1730969158000,11,13.0,-1154.8258233214049,0.0,16,1602000000,0.0,13.0,C,32995,-3139.654776645757,0,-4.2422003896959475e+17,
1730969158000,7,19.0,-1153.7688229272258,0.0,16,1604812540,0.0,19.0,C,32995,-3139.654776645757,0,-4.2422003897194925e+17,
1730969158000,4,19.006999969482425,-1282.335912560036,0.0,16,1575420030,0.0,19.006999969482425,C,16431,-3139.654776645757,0,-4.243204148814975e+17,
1730969159000,27,21.94700050354004,-1039.3457590897117,0.0,16,1575420030,0.4619352884905239,21.94700050354004,C,16431,-3143.455212672659,0,-4.243204148805193e+17,
1730969159000,16,14.199999809265137,-341.01253354085827,0.0,16,1575420030,0.0,14.199999809265137,C,16431,-3143.455212672659,0,-4.243204148802918e+17,
1730969159000,8,23.167999267578125,-1334.1400199734237,0.0,16,1575420030,1.5041895693555656,23.167999267578125,C,16431,-3143.455212672659,0,-4.2432041488092454e+17,
1730969159000,8,17.100000381469727,-865.5802253592401,0.0,16,1575420030,0.0,17.100000381469727,C,16431,-3143.455212672659,0,-4.24320414877637e+17,
1730969159000,9,18.540000915527344,-985.0234375,0.0,16,1561097980,0.0,18.540000915527344,I,17,-3143.455212672659,0,-4.242073400824576e+17,
1730969159000,13,21.07900047302246,-634.4280395507812,0.0,16,1561097980,0.0,21.07900047302246,I,17,-3143.455212672659,0,-4.2420734008258765e+17,
1730969159000,10,12.619000434875488,-1089.101318359375,0.0,16,1561097980,0.0,12.619000434875488,I,17,-3143.455212672659,0,-4.2420734008247514e+17,
1730969159000,32,15.19499969482422,-834.6947631835938,0.0,16,1561097980,0.0,15.19499969482422,I,16905,-3143.455212672659,0,-4.243204106834831e+17,
1730969159000,27,13.199999809265137,-1228.6312255859375,0.0,16,1561097980,0.0,13.199999809265137,I,17,-3143.455212672659,0,-4.242073400824734e+17,
1730969159000,7,16.979999542236328,-1234.678683377601,0.0,16,1575420030,0.0,16.979999542236328,C,16431,-3143.455212672659,0,-4.243204148781026e+17,
1730969159000,11,13.0,-1158.28199807714,0.0,16,1602000000,0.0,13.0,C,32995,-3143.455212672659,0,-4.2422003896959597e+17,
1730969159000,7,19.0,-1154.5618464836466,0.0,16,1604812540,0.0,19.0,C,32995,-3143.455212672659,0,-4.242200389719504e+17,
1730969159000,4,19.007999420166016,-1282.263065763418,0.0,16,1575420030,0.0,19.007999420166016,C,16431,-3143.455212672659,0,-4.243204148814987e+17,
1730969160000,27,22.04599952697754,-1039.820749937048,0.0,16,1575420030,3.5218251811136247,22.04599952697754,C,16431,-3146.663548130964,0,-4.243204148805203e+17,
1730969160000,16,14.317999839782717,-343.11384770606094,0.0,16,1575420030,0.0,14.317999839782717,C,16431,-3146.663548130964,0,-4.2432041488029216e+17,
1730969160000,8,23.191999435424805,-1334.2022742511458,0.0,16,1575420030,3.123548438719715,23.191999435424805,C,16431,-3146.663548130964,0,-4.2432041488092595e+17,
1730969160000,8,17.100000381469727,-865.7126318454401,0.0,16,1575420030,0.0,17.100000381469727,C,16431,-3146.663548130964,0,-4.2432041487763795e+17,
1730969160000,9,18.49799919128418,-984.8657836914062,0.0,16,1561097980,0.0,18.49799919128418,I,17,-3146.663548130964,0,-4.242073397826661e+17,
1730969160000,13,21.13500022888184,-636.8432006835938,0.0,16,1561097980,2.411478624116998,21.13500022888184,I,17,-3146.663548130964,0,-4.242073397827959e+17,
1730969160000,10,12.628000259399414,-1092.7425537109375,0.0,16,1561097980,0.0,12.628000259399414,I,17,-3146.663548130964,0,-4.242073397826838e+17,
1730969160000,32,15.204999923706056,-837.3961791992188,0.0,16,1561097980,0.0,15.204999923706056,I,16905,-3146.663548130964,0,-4.243204106834839e+17,
1730969160000,27,14.899999618530272,-1228.836669921875,0.0,16,1561097980,0.0,14.899999618530272,I,17,-3146.663548130964,0,-4.242073397826822e+17,
1730969160000,7,17.04599952697754,-1234.0230622080378,0.0,16,1575420030,0.0,17.04599952697754,C,16431,-3146.663548130964,0,-4.243204148781038e+17,
1730969160000,7,20.0,-1155.2308175858768,0.0,16,1604812540,0.0,20.0,C,32995,-3146.663548130964,0,-4.2422003897195155e+17,
1730969160000,4,18.94300079345703,-1283.834661066988,0.0,16,1575420030,0.0,18.94300079345703,C,16431,-3146.663548130964,0,-4.2432041488149997e+17,
1730969161000,27,21.98200035095215,-1040.695933581622,0.0,16,1575420030,0.0,21.98200035095215,C,16431,-3147.6250513718346,0,-4.243204148805214e+17,
1730969161000,16,14.430999755859377,-343.8582509090024,0.0,16,1575420030,0.0,14.430999755859377,C,16431,-3147.6250513718346,0,-4.243204148802925e+17,
1730969161000,8,23.183000564575195,-1334.21203051855,0.0,16,1575420030,2.1544576458054783,23.183000564575195,C,16431,-3147.6250513718346,0,-4.243204148809272e+17,
