utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1726562137693,6012000000,18,12809278.210728036,-1410597349681000192,0.0,143.44270233015902,-3734.386728278401,0.0,0,10,0.0,47,203755714927405,235,29.099000930786133,-826.2874623481828,0.14999,17,-4498.053715226067,0.0008999999845400453,1575420030,,,,0,10.431990528823292,1,6.0,29.099000930786133,0.0,0.0,0.0,66.7128,C,
1726562137693,6012000000,18,12809278.210728036,-1410597349681000192,0.0,143.44270233015902,-3734.386728278401,0.0,0,31,0.0,47,203755720392000,235,29.325000762939453,-963.6125010724267,0.14999,16,-5470.328774186533,0.0008999999845400453,1575420030,,,,0,10.712901989518071,1,6.0,29.325000762939453,0.0,0.0,0.0,66.7128,C,
1726562137693,6012000000,18,12809278.210728036,-1410597349681000192,0.0,143.44270233015902,-3734.386728278401,0.0,0,32,0.0,47,203755708656971,316,25.312000274658203,-975.0181351689462,0.14999,17,-5701.264925711006,0.002025000052526593,1575420030,,,,0,5.47461132150849,1,6.0,25.312000274658203,0.0,0.0,0.0,66.7128,C,
1726562137693,6012000000,18,12809278.210728036,-1410597349681000192,0.0,143.44270233015902,-3734.386728278401,0.0,0,7,0.0,47,203741655785134,396,23.0,-1306.4041748046875,0.14999,16,-6638.037876669004,0.004900000058114529,1561097980,,,,0,3.5218251811136247,5,6.0,23.0,0.0,0.0,-108.08074595481283,66.7128,I,
1726562137693,6012000000,18,12809278.210728036,-1410597349681000192,0.0,143.44270233015902,-3734.386728278401,0.0,0,14,0.0,17,227731,487,0.0,-1811.2600236652831,0.14999,16,-7468.45468111503,0.009999999776482582,1598062460,,,,0,0.0,3,6.0,19.0,0.0,0.0,-16.573061185027502,66.7128,C,
1726562137693,6012000000,18,12809278.210728036,-1410597349681000192,0.0,143.44270233015902,-3734.386728278401,0.0,0,21,0.0,47,203755712470616,396,22.597999572753906,-1109.4777116981566,0.14999,16,-6100.919066649132,0.004900000058114529,1575420030,,,,0,1.5041895693555656,1,6.0,22.597999572753906,0.0,0.0,0.0,66.7128,C,
1726562137693,6012000000,18,12809278.210728036,-1410597349681000192,0.0,143.44270233015902,-3734.386728278401,0.0,0,2,0.0,47,203755710617208,487,19.399999618530273,-1289.1365884417671,0.14999,16,-6641.238136045576,0.009999999776482582,1575420030,,,,0,0.0,1,6.0,19.399999618530273,0.0,0.0,0.0,66.7128,C,
1726562138696,7012000000,18,17155681.748338044,-1410597349684000000,0.0,139.66992526495588,-3803.7041956920148,0.0,0,10,0.0,47,203756619930202,487,29.04400062561035,-846.3275789310958,0.14999,20,-5337.461657058138,0.009999999776482582,1575420030,,,,0,9.05453631549026,1,6.0,29.04400062561035,0.0,0.0,0.0,66.7128,C,
1726562138696,7012000000,18,17155681.748338044,-1410597349684000000,0.0,139.66992526495588,-3803.7041956920148,0.0,0,31,0.0,47,203756625395254,396,27.566999435424805,-983.0953954113104,0.14999,16,-6446.752118109758,0.004900000058114529,1575420030,,,,0,8.496535059216862,1,6.0,27.566999435424805,0.0,0.0,0.0,66.7128,C,
1726562138696,7012000000,18,17155681.748338044,-1410597349684000000,0.0,139.66992526495588,-3803.7041956920148,0.0,0,32,0.0,47,203756613660253,797,24.611000061035156,-994.503909929635,0.14999,20,-6689.28571891668,0.02250000089406967,1575420030,,,,0,4.487918772604726,1,6.0,24.611000061035156,0.0,0.0,0.0,66.7128,C,
