UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
,74,0,1,1,1575420030,36.00,0.0,0.0,0,0,0,31.0
,74,1,1,2,1575420030,28.10,299.92377,27.60426,1,1,1,23.1
,74,2,1,10,1575420030,29.30,98.945526,45.13562,1,1,1,24.3
,74,3,1,16,1575420030,26.70,181.34624,18.691076,1,1,0,21.7
,74,4,1,21,1575420030,33.50,284.1921,39.986065,1,1,1,28.5
,74,5,1,23,1575420030,22.50,124.603676,12.594174,1,1,1,17.5
,74,6,1,26,1575420030,38.70,151.22581,42.647976,1,1,1,33.7
,74,7,1,27,1575420030,18.30,201.20293,9.546024,1,1,1,13.3
,74,8,1,28,1575420030,20.70,19.031227,53.12653,1,1,1,15.7
,74,9,1,31,1575420030,36.70,281.26297,77.25387,1,1,1,31.7
,74,10,1,32,1575420030,30.50,37.739006,25.38144,1,1,1,25.5
,74,11,4,194,1575420030,21.30,84.66006,15.711185,1,1,0,16.3
,74,12,4,196,1575420030,28.00,83.118065,30.81324,1,1,0,23.0
,74,13,2,127,1575420030,37.20,0.0,0.0,0,0,0,32.2
,74,14,3,14,1598062460,34.00,127.611755,62.39261,1,1,1,29.0
,74,15,3,18,1600312450,31.10,233.7408,34.20709,1,1,1,26.1
,74,16,3,13,1600875010,24.40,41.77835,28.694592,0,1,0,19.4
,74,17,3,15,1602000000,17.10,186.02611,24.112839,0,1,0,12.1
,74,18,3,19,1603687550,26.20,285.44724,30.057985,0,1,0,21.2
,74,19,3,3,1604812540,25.20,26.837559,26.698944,0,1,0,20.2
,74,20,3,4,1605374980,29.40,335.0646,17.634321,1,1,0,24.4
,74,21,5,60,1561097980,30.80,168.48553,75.219505,1,1,1,25.8
,74,22,5,59,1561097980,23.20,95.42012,18.773039,1,1,0,18.2
,74,23,5,41,1561097980,38.60,5.566252,40.236115,1,1,1,33.6
,74,24,5,39,1561097980,27.80,25.399036,37.383682,0,1,0,22.8
,74,25,5,38,1561097980,43.70,124.331436,40.247395,1,1,1,38.7
,74,26,5,32,1561097980,27.60,315.11783,11.056269,1,1,0,22.6
,74,27,5,28,1561097980,34.50,208.74739,26.583723,1,1,1,29.5
,74,28,5,27,1561097980,27.40,258.79794,24.746922,1,1,0,22.4
,74,29,5,25,1561097980,36.60,56.119385,52.13064,1,1,1,31.6
,74,30,5,23,1561097980,35.00,178.56657,62.166374,1,1,0,30.0
,74,31,5,16,1561097980,30.70,22.630238,45.459023,0,1,0,25.7
