UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
,64,0,1,10,1575420030,18.50,52.0,47.0,1,1,1,18.5
,64,1,1,21,1575420030,27.90,312.0,26.0,1,1,0,27.9
,64,2,1,23,1575420030,20.30,97.0,26.0,1,1,1,20.3
,64,3,1,26,1575420030,17.50,172.0,21.0,1,1,1,17.5
,64,4,1,27,1575420030,16.80,224.0,16.0,0,1,1,16.8
,64,5,1,28,1575420030,13.40,46.0,82.0,0,1,1,13.4
,64,6,1,31,1575420030,21.70,208.0,54.0,1,1,1,21.7
,64,7,1,32,1575420030,20.70,9.0,35.0,0,1,1,20.7
,64,8,1,2,1575420030,0.00,319.0,11.0,0,1,0,0.0
,64,9,1,8,1575420030,0.00,255.0,9.0,0,1,0,0.0
,64,10,1,16,1575420030,0.00,198.0,2.0,0,1,0,0.0
,64,11,1,18,1575420030,0.00,150.0,4.0,0,1,0,0.0
,64,12,1,25,1575420030,0.00,80.0,14.0,0,1,0,0.0
,64,13,1,10,1176450050,21.00,52.0,47.0,0,1,1,21.0
,64,14,1,23,1176450050,16.90,97.0,26.0,0,1,1,16.9
,64,15,1,26,1176450050,18.90,172.0,21.0,0,1,1,18.9
,64,16,1,27,1176450050,22.30,224.0,16.0,1,1,1,22.3
,64,17,1,28,1176450050,22.60,46.0,82.0,1,1,1,22.6
,64,18,1,32,1176450050,16.30,9.0,35.0,0,1,1,16.3
,64,19,3,14,1598062460,14.10,158.0,33.0,0,1,0,14.1
,64,20,3,18,1600312450,19.80,277.0,47.0,1,1,1,19.8
,64,21,3,13,1600875010,18.90,78.0,40.0,0,1,0,18.9
,64,22,3,17,1604249980,18.20,203.0,40.0,1,1,1,18.2
,64,23,3,3,1604812540,19.20,352.0,24.0,1,1,0,19.2
,64,24,3,2,1599750020,0.00,45.0,11.0,0,1,0,0.0
,64,25,3,12,1601437440,0.00,40.0,10.0,0,1,0,0.0
,64,26,3,24,1603124990,0.00,167.0,1.0,0,1,0,0.0
,64,27,3,19,1603687550,0.00,317.0,19.0,0,1,0,0.0
,64,28,3,4,1605374980,0.00,305.0,11.0,0,1,0,0.0
,64,29,5,28,1561097980,16.40,233.0,42.0,0,1,1,16.4
,64,30,5,27,1561097980,24.60,286.0,26.0,1,1,1,24.6
,64,31,5,25,1561097980,27.30,104.0,56.0,0,1,0,27.3
,64,32,5,24,1561097980,18.10,50.0,19.0,0,1,0,18.1
,64,33,5,23,1561097980,16.70,182.0,35.0,1,1,1,16.7
,64,34,5,14,1561097980,21.70,64.0,18.0,1,1,0,21.7
,64,35,5,9,1561097980,20.70,32.0,75.0,0,1,0,20.7
,64,36,5,8,1561097980,23.20,85.0,47.0,1,1,0,23.2
,64,37,5,3,1561097980,25.30,106.0,49.0,1,1,0,25.3
,64,38,5,2,1561097980,27.00,146.0,75.0,1,1,0,27.0
,64,39,5,1,1561097980,0.00,94.0,14.0,0,1,0,0.0
,64,40,5,5,1561097980,0.00,240.0,63.0,0,1,0,0.0
,64,41,5,6,1561097980,0.00,30.0,63.0,0,1,0,0.0
,64,42,5,7,1561097980,0.00,149.0,13.0,0,1,0,0.0
,64,43,5,10,1561097980,0.00,160.0,16.0,0,1,0,0.0
,64,44,5,13,1561097980,0.00,64.0,56.0,0,1,0,0.0
,64,45,4,196,1575420030,15.70,73.0,28.0,1,1,0,15.7
,64,46,4,194,1575420030,0.00,92.0,9.0,0,1,0,0.0
,64,47,4,195,1575420030,0.00,136.0,9.0,0,1,0,0.0
,64,48,4,196,1176450050,20.40,73.0,28.0,0,1,0,20.4
,64,49,6,6,1575420030,21.00,324.0,45.0,0,1,1,21.0
,64,50,6,9,1575420030,25.40,293.0,37.0,1,1,0,25.4
,64,51,6,10,1575420030,19.00,215.0,76.0,1,1,0,19.0
,64,52,6,11,1575420030,25.30,303.0,61.0,0,1,0,25.3
,64,53,6,12,1575420030,16.50,167.0,56.0,1,1,0,16.5
,64,54,6,31,1575420030,17.70,150.0,23.0,1,1,0,17.7
,64,55,6,4,1575420030,0.00,1.0,40.0,0,1,0,0.0
,64,56,6,5,1575420030,0.00,253.0,2.0,0,1,0,0.0
,64,57,6,19,1575420030,0.00,49.0,4.0,0,1,0,0.0
,64,58,6,24,1575420030,0.00,196.0,4.0,0,1,0,0.0
,64,59,6,33,1575420030,0.00,150.0,4.0,0,1,0,0.0
,64,60,6,36,1575420030,0.00,323.0,13.0,0,1,0,0.0
,64,61,6,4,1176450050,20.10,1.0,40.0,1,1,0,20.1
,64,62,6,6,1176450050,21.30,324.0,45.0,1,1,1,21.3
,64,63,6,9,1176450050,17.80,293.0,37.0,0,1,0,17.8
,64,0,1,10,1575420030,18.50,52.0,47.0,1,1,1,18.5
,64,1,1,21,1575420030,28.10,312.0,26.0,1,1,0,28.1
,64,2,1,23,1575420030,20.30,97.0,26.0,1,1,1,20.3
,64,3,1,26,1575420030,17.50,172.0,21.0,1,1,1,17.5
,64,4,1,27,1575420030,16.80,224.0,16.0,0,1,1,16.8
,64,5,1,28,1575420030,13.40,46.0,82.0,0,1,1,13.4
,64,6,1,31,1575420030,21.70,208.0,54.0,1,1,1,21.7
,64,7,1,32,1575420030,15.70,9.0,35.0,0,1,1,15.7
,64,8,1,2,1575420030,0.00,319.0,11.0,0,1,0,0.0
,64,9,1,8,1575420030,0.00,255.0,9.0,0,1,0,0.0
,64,10,1,16,1575420030,0.00,198.0,2.0,0,1,0,0.0
,64,11,1,18,1575420030,0.00,150.0,4.0,0,1,0,0.0
,64,12,1,25,1575420030,0.00,80.0,14.0,0,1,0,0.0
,64,13,1,10,1176450050,21.00,52.0,47.0,0,1,1,21.0
,64,14,1,23,1176450050,16.90,97.0,26.0,0,1,1,16.9
,64,15,1,26,1176450050,18.90,172.0,21.0,0,1,1,18.9
,64,16,1,27,1176450050,22.30,224.0,16.0,1,1,1,22.3
,64,17,1,28,1176450050,22.60,46.0,82.0,1,1,1,22.6
,64,18,1,32,1176450050,16.30,9.0,35.0,0,1,1,16.3
,64,19,3,14,1598062460,14.10,158.0,33.0,1,1,0,14.1
,64,20,3,18,1600312450,19.80,277.0,47.0,1,1,1,19.8
,64,21,3,13,1600875010,18.90,78.0,40.0,0,1,0,18.9
,64,22,3,17,1604249980,18.20,203.0,40.0,1,1,1,18.2
,64,23,3,3,1604812540,19.20,352.0,24.0,1,1,0,19.2
,64,24,3,2,1599750020,0.00,45.0,11.0,0,1,0,0.0
,64,25,3,12,1601437440,0.00,40.0,10.0,0,1,0,0.0
,64,26,3,24,1603124990,0.00,167.0,1.0,0,1,0,0.0
,64,27,3,19,1603687550,0.00,317.0,19.0,0,1,0,0.0
,64,28,3,4,1605374980,0.00,305.0,11.0,0,1,0,0.0
,64,29,5,27,1561097980,26.10,286.0,26.0,1,1,1,26.1
,64,30,5,25,1561097980,28.60,104.0,56.0,0,1,0,28.6
,64,31,5,24,1561097980,18.10,50.0,19.0,0,1,0,18.1
,64,32,5,23,1561097980,16.70,182.0,35.0,1,1,1,16.7
,64,33,5,14,1561097980,21.70,64.0,18.0,1,1,0,21.7
,64,34,5,9,1561097980,20.70,32.0,75.0,0,1,0,20.7
,64,35,5,8,1561097980,23.20,85.0,47.0,1,1,0,23.2
,64,36,5,3,1561097980,25.30,106.0,49.0,1,1,0,25.3
,64,37,5,2,1561097980,27.00,146.0,75.0,1,1,0,27.0
,64,38,5,1,1561097980,0.00,94.0,14.0,0,1,0,0.0
,64,39,5,5,1561097980,0.00,240.0,63.0,0,1,0,0.0
,64,40,5,6,1561097980,0.00,30.0,63.0,0,1,0,0.0
,64,41,5,7,1561097980,0.00,149.0,13.0,0,1,0,0.0
,64,42,5,10,1561097980,0.00,160.0,16.0,0,1,0,0.0
,64,43,5,13,1561097980,0.00,64.0,56.0,0,1,0,0.0
,64,44,5,16,1561097980,0.00,30.0,54.0,0,1,0,0.0
,64,45,4,196,1575420030,15.70,73.0,28.0,1,1,0,15.7
,64,46,4,194,1575420030,0.00,92.0,9.0,0,1,0,0.0
,64,47,4,195,1575420030,0.00,136.0,9.0,0,1,0,0.0
,64,48,4,196,1176450050,20.40,73.0,28.0,0,1,0,20.4
,64,49,6,6,1575420030,21.00,324.0,45.0,0,1,1,21.0
,64,50,6,9,1575420030,25.40,293.0,37.0,1,1,0,25.4
,64,51,6,10,1575420030,19.00,215.0,76.0,1,1,0,19.0
,64,52,6,11,1575420030,24.70,303.0,61.0,0,1,0,24.7
,64,53,6,12,1575420030,16.50,167.0,56.0,1,1,0,16.5
,64,54,6,31,1575420030,17.70,150.0,23.0,0,1,0,17.7
,64,55,6,4,1575420030,0.00,1.0,40.0,0,1,0,0.0
,64,56,6,5,1575420030,0.00,253.0,2.0,0,1,0,0.0
,64,57,6,19,1575420030,0.00,49.0,4.0,0,1,0,0.0
,64,58,6,24,1575420030,0.00,196.0,4.0,0,1,0,0.0
,64,59,6,33,1575420030,0.00,150.0,4.0,0,1,0,0.0
,64,60,6,36,1575420030,0.00,323.0,13.0,0,1,0,0.0
,64,61,6,4,1176450050,20.10,1.0,40.0,1,1,0,20.1
,64,62,6,6,1176450050,21.30,324.0,45.0,1,1,1,21.3
,64,63,6,9,1176450050,17.80,293.0,37.0,0,1,0,17.8
,64,0,1,10,1575420030,18.50,52.0,47.0,1,1,1,18.5
,64,1,1,21,1575420030,29.50,312.0,26.0,1,1,0,29.5
,64,2,1,23,1575420030,16.60,97.0,26.0,1,1,1,16.6
,64,3,1,26,1575420030,17.50,172.0,21.0,1,1,1,17.5
,64,4,1,27,1575420030,16.80,224.0,16.0,0,1,1,16.8
,64,5,1,28,1575420030,13.40,46.0,82.0,0,1,1,13.4
,64,6,1,31,1575420030,21.70,208.0,54.0,1,1,1,21.7
,64,7,1,32,1575420030,15.70,9.0,35.0,1,1,1,15.7
,64,8,1,2,1575420030,0.00,319.0,11.0,0,1,0,0.0
,64,9,1,8,1575420030,0.00,255.0,9.0,0,1,0,0.0
,64,10,1,16,1575420030,0.00,198.0,2.0,0,1,0,0.0
,64,11,1,18,1575420030,0.00,150.0,4.0,0,1,0,0.0
,64,12,1,25,1575420030,0.00,80.0,14.0,0,1,0,0.0
,64,13,1,10,1176450050,21.00,52.0,47.0,0,1,1,21.0
,64,14,1,23,1176450050,16.90,97.0,26.0,0,1,1,16.9
,64,15,1,26,1176450050,18.90,172.0,21.0,0,1,1,18.9
