UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
,17,0,1,21,1575420030,35.20,312.13364,27.94924,1,1,1,30.2
,17,1,1,23,1575420030,34.90,98.64314,25.889477,1,1,1,29.9
,17,2,1,27,1575420030,28.70,224.49611,16.949211,1,1,1,23.7
,17,3,1,28,1575420030,37.70,41.202137,82.68621,1,1,1,32.7
,17,4,1,31,1575420030,36.80,209.33527,55.902714,1,1,1,31.8
,17,5,1,32,1575420030,33.40,11.746981,35.45158,1,1,1,28.4
,17,6,3,14,1598062460,35.60,159.42897,33.6353,1,1,0,30.6
,17,7,3,13,1600875010,29.60,79.59834,40.65536,0,1,0,24.6
,17,8,3,17,1604249980,32.10,204.29321,40.062008,1,1,1,27.1
,17,9,3,3,1604812540,34.30,354.19656,24.983236,0,1,0,29.3
,17,10,5,39,1561097980,33.50,29.732422,45.76524,0,1,0,28.5
,17,11,5,25,1561097980,32.40,104.247185,57.552486,1,1,1,27.4
,17,12,5,9,1561097980,29.50,32.69053,76.17438,0,1,0,24.5
,17,13,6,10,1575420030,34.20,215.96483,76.94226,1,1,1,29.2
,17,14,6,36,1575420030,27.60,323.80148,13.939318,1,1,0,22.6
,17,15,1,28,1176450050,24.40,41.202137,82.68621,1,1,1,19.4
,17,16,6,10,1176450050,29.20,215.96483,76.94226,1,1,1,24.2
,57,0,1,8,1575420030,25.30,255.61516,10.265273,1,1,1,20.3
,57,1,1,10,1575420030,31.50,54.195477,47.33607,1,1,1,26.5
,57,2,1,18,1575420030,23.60,151.32527,4.7247458,0,1,1,18.6
,57,3,1,21,1575420030,33.60,312.13058,27.952045,1,1,1,28.6
,57,4,1,23,1575420030,32.50,98.647964,25.88796,1,1,1,27.5
,57,5,1,25,1575420030,30.90,79.95104,15.398858,1,1,0,25.9
,57,6,1,26,1575420030,21.70,172.65338,22.68366,0,1,1,16.7
,57,7,1,27,1575420030,29.90,224.49223,16.947695,1,1,1,24.9
,57,8,1,28,1575420030,36.30,41.180035,82.68198,1,1,1,31.3
,57,9,1,31,1575420030,36.80,209.3386,55.90729,1,1,1,31.8
,57,10,1,32,1575420030,31.60,11.751196,35.44962,1,1,1,26.6
,57,11,4,194,1575420030,23.60,93.89395,9.91654,0,1,0,18.6
,57,12,4,195,1575420030,21.70,137.34036,9.044027,0,1,1,16.7
,57,13,4,196,1575420030,22.50,73.56633,28.793287,1,1,0,17.5
,57,14,3,14,1598062460,35.70,159.4261,33.639614,1,1,0,30.7
,57,15,3,18,1600312450,24.50,277.94943,47.750565,1,1,1,19.5
,57,16,3,13,1600875010,29.50,79.5914,40.65536,0,1,0,24.5
,57,17,3,12,1601437440,23.30,40.98467,10.91472,1,1,0,18.3
,57,18,3,17,1604249980,29.70,204.2901,40.057392,1,1,1,24.7
,57,19,3,3,1604812540,34.50,354.20145,24.983116,0,1,0,29.5
,57,20,3,4,1605374980,27.30,305.39423,12.33021,1,1,0,22.3
,57,21,5,60,1561097980,34.20,167.93391,75.89905,1,1,1,29.2
,57,22,5,43,1561097980,25.10,169.71304,14.628105,0,1,1,20.1
,57,23,5,41,1561097980,28.30,339.06308,32.31436,0,1,0,23.3
,57,24,5,39,1561097980,34.50,29.73108,45.76391,0,1,0,29.5
,57,25,5,38,1561097980,27.80,103.286026,39.75279,1,1,1,22.8
,57,26,5,28,1561097980,27.30,233.67285,42.30288,1,1,1,22.3
,57,27,5,27,1561097980,32.30,287.29123,26.476042,1,1,0,27.3
,57,28,5,25,1561097980,33.00,104.23907,57.55362,1,1,1,28.0
,57,29,5,24,1561097980,25.30,51.174953,19.995398,0,1,0,20.3
,57,30,5,23,1561097980,33.20,184.02585,35.832176,1,1,1,28.2
,57,31,5,14,1561097980,33.10,65.087456,18.87232,1,1,0,28.1
,57,32,5,13,1561097980,34.90,65.49589,56.814594,1,1,1,29.9
,57,33,5,9,1561097980,31.10,32.68249,76.17313,0,1,0,26.1
,57,34,5,3,1561097980,32.10,107.582085,49.451267,0,1,1,27.1
,57,35,6,4,1575420030,31.90,2.3265965,40.913788,1,1,1,26.9
,57,36,6,6,1575420030,23.40,325.5665,45.62653,1,1,1,18.4
,57,37,6,9,1575420030,34.00,294.6339,37.300583,1,1,1,29.0
,57,38,6,10,1575420030,35.30,215.95465,76.93859,1,1,1,30.3
,57,39,6,11,1575420030,34.00,304.53644,61.776848,0,1,0,29.0
,57,40,6,12,1575420030,25.30,167.46901,56.468334,1,1,1,20.3
,57,41,6,31,1575420030,21.10,150.76218,24.028345,0,1,0,16.1
,57,42,6,33,1575420030,23.10,151.38011,4.8512034,0,1,1,18.1
,57,43,6,36,1575420030,29.70,323.80026,13.942079,1,1,0,24.7
,57,44,1,23,1176450050,19.10,98.647964,25.88796,0,1,1,14.1
,57,45,1,27,1176450050,22.20,224.49223,16.947695,0,1,1,17.2
,57,46,1,28,1176450050,19.90,41.180035,82.68198,1,1,1,14.9
,57,47,6,10,1176450050,27.20,215.95465,76.93859,1,1,1,22.2
,57,48,5,28,1176450050,19.20,233.67285,42.30288,0,1,1,14.2
,57,49,5,39,1176450050,19.40,29.73108,45.76391,0,1,0,14.4
,57,50,5,23,1575420030,33.90,184.02585,35.832176,1,1,1,28.9
,57,51,5,24,1575420030,24.40,51.174953,19.995398,1,1,0,19.4
,57,52,5,25,1575420030,28.00,104.23907,57.55362,1,1,1,23.0
,57,53,5,27,1575420030,27.50,287.29123,26.476042,1,1,0,22.5
,57,54,5,28,1575420030,36.10,233.67285,42.30288,1,1,1,31.1
,57,55,5,38,1575420030,27.20,103.286026,39.75279,1,1,1,22.2
,57,56,5,39,1575420030,23.70,29.73108,45.76391,0,1,0,18.7
,62,0,1,8,1575420030,23.20,255.61516,10.265273,1,1,1,18.2
,62,1,1,10,1575420030,30.40,54.195477,47.33607,1,1,1,25.4
,62,2,1,18,1575420030,23.60,151.32527,4.7247458,0,1,1,18.6
,62,3,1,21,1575420030,35.60,312.13058,27.952045,1,1,1,30.6
,62,4,1,23,1575420030,32.00,98.647964,25.88796,1,1,1,27.0
,62,5,1,25,1575420030,30.60,79.95104,15.398858,1,1,0,25.6
,62,6,1,26,1575420030,21.70,172.65338,22.68366,1,1,1,16.7
,62,7,1,27,1575420030,30.80,224.49223,16.947695,1,1,1,25.8
,62,8,1,28,1575420030,35.20,41.180035,82.68198,1,1,1,30.2
,62,9,1,31,1575420030,35.50,209.3386,55.90729,1,1,1,30.5
,62,10,1,32,1575420030,31.30,11.751196,35.44962,1,1,1,26.3
,62,11,4,194,1575420030,23.40,93.89395,9.91654,1,1,0,18.4
,62,12,4,195,1575420030,21.70,137.34036,9.044027,1,1,1,16.7
,62,13,4,196,1575420030,22.50,73.56633,28.793287,1,1,0,17.5
,62,14,3,14,1598062460,32.50,159.4261,33.639614,1,1,0,27.5
,62,15,3,18,1600312450,24.50,277.94943,47.750565,1,1,1,19.5
,62,16,3,13,1600875010,28.80,79.5914,40.65536,0,1,0,23.8
,62,17,3,12,1601437440,26.10,40.98467,10.91472,1,1,0,21.1
,62,18,3,17,1604249980,28.20,204.2901,40.057392,1,1,1,23.2
,62,19,3,3,1604812540,34.60,354.20145,24.983116,0,1,0,29.6
,62,20,3,4,1605374980,26.70,305.39423,12.33021,1,1,0,21.7
,62,21,5,60,1561097980,33.90,167.93391,75.89905,1,1,1,28.9
,62,22,5,43,1561097980,24.70,169.71304,14.628105,1,1,1,19.7
,62,23,5,41,1561097980,25.40,339.06308,32.31436,0,1,0,20.4
,62,24,5,39,1561097980,34.20,29.73108,45.76391,0,1,0,29.2
,62,25,5,38,1561097980,29.40,103.286026,39.75279,1,1,1,24.4
,62,26,5,28,1561097980,27.60,233.67285,42.30288,1,1,1,22.6
,62,27,5,27,1561097980,32.20,287.29123,26.476042,1,1,0,27.2
,62,28,5,25,1561097980,33.30,104.23907,57.55362,1,1,1,28.3
,62,29,5,24,1561097980,22.50,51.174953,19.995398,1,1,0,17.5
,62,30,5,23,1561097980,35.60,184.02585,35.832176,1,1,1,30.6
,62,31,5,14,1561097980,33.20,65.087456,18.87232,1,1,0,28.2
,62,32,5,13,1561097980,34.80,65.49589,56.814594,1,1,1,29.8
,62,33,5,9,1561097980,31.50,32.68249,76.17313,0,1,0,26.5
,62,34,5,8,1561097980,24.00,86.25991,47.681057,0,1,0,19.0
,62,35,5,5,1561097980,27.70,241.22545,64.65522,0,1,1,22.7
,62,36,5,3,1561097980,34.30,107.582085,49.451267,1,1,1,29.3
,62,37,5,2,1561097980,25.70,147.2768,75.75578,0,1,0,20.7
,62,38,6,4,1575420030,32.30,2.3265965,40.913788,1,1,1,27.3
,62,39,6,6,1575420030,24.50,325.5665,45.62653,1,1,1,19.5
,62,40,6,9,1575420030,32.90,294.6339,37.300583,1,1,1,27.9
,62,41,6,10,1575420030,35.00,215.95465,76.93859,1,1,1,30.0
,62,42,6,11,1575420030,34.50,304.53644,61.776848,0,1,0,29.5
,62,43,6,12,1575420030,27.20,167.46901,56.468334,1,1,1,22.2
,62,44,6,31,1575420030,21.10,150.76218,24.028345,1,1,0,16.1
